source,depth_m,model,metric,control,treatment,abs_delta,rel_delta
exp3,1.1,non_refractive,xy_rmse_mm,41.20793523545745,36.55492039002248,-4.653014845434967,-0.1129155056871491
exp3,1.1,non_refractive,z_rmse_mm,36.31181634143837,37.01913420735119,0.7073178659128203,0.019478999873262806
exp3,1.1,non_refractive,anisotropy_ratio,0.8811850468594651,1.012699078875724,0.13151403201625889,0.1492467813485642
exp3,1.1,refractive,xy_rmse_mm,0.5205707148501612,0.5205707148501612,0.0,0.0
exp3,1.1,refractive,z_rmse_mm,1.422054938851366,1.422054938851366,0.0,0.0
exp3,1.1,refractive,anisotropy_ratio,2.731722892365707,2.731722892365707,0.0,0.0
exp3,1.2,non_refractive,xy_rmse_mm,44.07296893255384,39.18686736973381,-4.886101562820031,-0.11086390776844136
exp3,1.2,non_refractive,z_rmse_mm,21.83808361283992,21.52999577656291,-0.30808783627701075,-0.014107823824608283
exp3,1.2,non_refractive,anisotropy_ratio,0.4954983551541393,0.5494186502183056,0.05392029506416629,0.10882033109351655
exp3,1.2,refractive,xy_rmse_mm,0.5288725359061173,0.5288725359061173,0.0,0.0
exp3,1.2,refractive,z_rmse_mm,1.3299912100819218,1.3299912100819218,0.0,0.0
exp3,1.2,refractive,anisotropy_ratio,2.514767018111931,2.514767018111931,0.0,0.0
exp3,1.3,non_refractive,xy_rmse_mm,47.02165384816829,41.82291785493149,-5.198735993236802,-0.1105604666740006
exp3,1.3,non_refractive,z_rmse_mm,26.166513362175483,24.379939056553702,-1.7865743056217802,-0.06827712507560635
exp3,1.3,non_refractive,anisotropy_ratio,0.5564779462386942,0.5829325237688786,0.02645457753018443,0.047539309884595274
exp3,1.3,refractive,xy_rmse_mm,0.5639328539914498,0.5639328539914498,0.0,0.0
exp3,1.3,refractive,z_rmse_mm,1.441661304545223,1.441661304545223,0.0,0.0
exp3,1.3,refractive,anisotropy_ratio,2.5564414173448404,2.5564414173448404,0.0,0.0
exp3,1.4,non_refractive,xy_rmse_mm,50.02317229224692,44.5191179156312,-5.50405437661572,-0.11003009454218064
exp3,1.4,non_refractive,z_rmse_mm,41.950055237386366,40.5341327834008,-1.4159224539855657,-0.03375257662887842
