iteration,n_fev,cost,step_norm,optimality,water_z,tilt_rx,tilt_ry
1,7,14301.132694017128,0.0,8720524.585462453,1.0310504462350898,nan,nan
2,9,9631.071660647252,0.003559828405039683,2139445.9739505434,1.0310781509921199,nan,nan
3,10,6092.908881707854,0.0071222747850886265,902785.6590752439,1.0312571508703634,nan,nan
4,11,4689.651711111467,0.01423208111938381,690796.5284935097,1.0337014497740005,nan,nan
5,12,4209.902634626113,0.014215513738151584,401111.53647414426,1.0375330533121083,nan,nan
6,13,3851.4017376204984,0.014256302769976347,159058.56789632986,1.0362536929406327,nan,nan
7,14,3606.98680497617,0.01647638892496188,10615.447028310251,1.0310077514814981,nan,nan
8,15,3606.6161018438493,0.0017074509042078745,6607.646822314774,1.0306446693803155,nan,nan
9,16,3606.6160694517894,5.784072565655748e-05,6640.180738292771,1.0306301782109963,nan,nan
