camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.3338464670617245,0.5759084955564342,0.015074897850064075,736.4390217477188,738.8698398709198,805.8415133853731,564.1770869667199,1.019673215115154,1.0045983172650899,25.99140990521543
e3v829d,0.0,0.0,0.0,1583.9841740230602,1584.8792800922427,848.7622143129437,587.0546533464048,1.019673215115154,1.019673215115154,0.5649484768903287
e3v82e0,-0.3344461592669202,-0.0604032071744509,-0.01174673390626626,1602.8034261488074,1603.68012805153,755.4846573603025,594.1668422845712,1.019673215115154,1.0314199490214202,0.649925719985191
e3v82f9,0.34399203704831977,0.5679473286050594,-0.004277582975112763,1582.7606033505908,1584.086828229634,788.6982696535583,558.5898756184296,1.019673215115154,1.0239507980902667,0.7407500534224298
e3v831e,-0.8894240882669525,0.28028508418802145,-0.016485982073781325,1603.359267889226,1599.8110752221694,770.1805805105224,582.1536307709708,1.019673215115154,1.0361591971889352,1.4289836220458285
e3v832e,0.20955785346983394,0.23770044706775476,0.008437136819929109,1583.632162287091,1584.5568440508841,806.3421111198388,625.4290198573862,1.019673215115154,1.0112360782952248,0.6835349345095624
e3v8334,-0.6589812253421946,0.006657894844163534,0.0015768729061914066,1557.583776373617,1558.6886348072721,769.065587540748,624.6880373515733,1.019673215115154,1.0180963422089626,0.5870395715496917
e3v83e9,-0.3298306063610288,1.1973054488680719,0.03052269098753069,1561.436332055198,1566.393956344864,784.3248501891164,619.092630820628,1.019673215115154,0.9891505241276233,0.8446148330772945
e3v83eb,-0.8758557996906381,0.8873910540184455,0.01075868412589363,1575.233205024741,1574.8523327562918,778.3252227174912,616.0304131002387,1.019673215115154,1.0089145309892604,0.8083128363432935
e3v83ee,0.015626351803431894,1.1519261749351486,-0.016230454818600706,1599.9792669820454,1600.4950132209763,756.8691283652174,600.6740503714083,1.019673215115154,1.0359036699337547,1.1735794097826153
e3v83ef,0.23566720766513027,0.8649362442721938,0.012189427619563105,1579.1515408992373,1578.3473454774105,814.3964954359257,614.759256717354,1.019673215115154,1.0074837874955909,0.9141513624509542
e3v83f0,-1.0004351608352715,0.5698519333336236,0.0033101985559591497,1566.9874379680123,1569.1848255944542,793.8303651231024,599.8431820355808,1.019673215115154,1.0163630165591948,2.009806455859985
e3v83f1,-0.6637179118731011,1.155106221280445,-0.04851074030229856,1649.9958080519712,1647.140277835659,775.892067032244,588.1961159610514,1.019673215115154,1.0681839554174526,1.394662512891367
