test_depth_m,model,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points
1.1,refractive,0.7319749899237735,1.8048022783149829,2.4656611266225523,4054
1.1,non_refractive,24.14920217450989,49.359479753147426,2.043938321293597,4054
1.2,refractive,0.7372370330072255,1.7515514374942667,2.3758321395625006,4247
1.2,non_refractive,25.660542017061182,28.529606364078603,1.1118084078313637,4247
1.3,refractive,0.7585773397453484,1.7714784198691769,2.3352640885158205,4282
1.3,non_refractive,27.19659775951856,11.729786529079622,0.43129609934295193,4282
1.4,refractive,0.7612909643263224,1.7822853386946695,2.341135547657314,4294
1.4,non_refractive,28.633839796146756,23.845750417273464,0.83278214123704,4294
1.5,refractive,0.7845707725591466,1.9033216399074764,2.4259400253964856,4288
1.5,non_refractive,30.008636022492936,43.12243091017858,1.437000697994278,4288
1.7,refractive,0.7950641651747586,1.9088492877856171,2.400874509752359,4312
1.7,non_refractive,32.906451758105554,87.5204537299934,2.659674594312201,4312
2.0,refractive,0.8372684918815664,1.8647117754272757,2.227137165088787,4312
2.0,non_refractive,37.26288903542707,152.48715597542986,4.09219896585193,4312
2.5,refractive,0.9079031770368193,1.9139717116662258,2.1081231568249112,4312
2.5,non_refractive,44.1563938677291,256.9714322234788,5.819574691566507,4312
