axis,axis_value,config_key,seed,camera,is_reference_camera,z_position_error_mm_raw,z_position_error_mm_gauge_corrected,water_z_error_mm_signed,h_c_error_mm_signed
cameras,16,cameras_16,42,cam0,True,0.0,-0.04489126186938473,0.4411769891905504,0.4411769891905504
cameras,16,cameras_16,42,cam1,False,0.05180565095655627,0.006914389087171541,0.4411769891905504,0.3893713382339941
cameras,16,cameras_16,42,cam10,False,0.21473776802871386,0.1698465061593291,0.4411769891905504,0.2264392211618365
cameras,16,cameras_16,42,cam11,False,0.1334653169315571,0.08857405506217238,0.4411769891905504,0.30771167225899326
cameras,16,cameras_16,42,cam12,False,0.6368600868405229,0.5919688249711381,0.4411769891905504,-0.1956830976499725
cameras,16,cameras_16,42,cam13,False,0.6998793703980304,0.6549881085286456,0.4411769891905504,-0.25870238120748
cameras,16,cameras_16,42,cam14,False,-0.14568027920168242,-0.19057154107106716,0.4411769891905504,0.5868572683922328
cameras,16,cameras_16,42,cam15,False,-0.11652031512404161,-0.16141157699342634,0.4411769891905504,0.557697304314592
cameras,16,cameras_16,42,cam2,False,0.2431253033649784,0.19823404149559365,0.4411769891905504,0.19805168582557198
cameras,16,cameras_16,42,cam3,False,-0.7128147402709453,-0.75770600214033,0.4411769891905504,1.1539917294614956
cameras,16,cameras_16,42,cam4,False,-0.24449325313209508,-0.2893845150014798,0.4411769891905504,0.6856702423226455
cameras,16,cameras_16,42,cam5,False,-0.09340349276844989,-0.13829475463783464,0.4411769891905504,0.5345804819590003
cameras,16,cameras_16,42,cam6,False,-0.4090594294482125,-0.45395069131759724,0.4411769891905504,0.8502364186387629
cameras,16,cameras_16,42,cam7,False,-0.5494645906568328,-0.5943558525262176,0.4411769891905504,0.9906415798473832
cameras,16,cameras_16,42,cam8,False,0.7028372203178668,0.657945958448482,0.4411769891905504,-0.2616602311273164
cameras,16,cameras_16,42,cam9,False,0.26209431180480514,0.2172030499354204,0.4411769891905504,0.17908267738574524
cameras,8,cameras_8,42,cam0,True,0.0,-0.16191589155908584,-0.6431563605058255,-0.6431563605058255
cameras,8,cameras_8,42,cam1,False,0.057607672218219774,-0.10430821934086607,-0.6431563605058255,-0.7007640327240452
cameras,8,cameras_8,42,cam2,False,-0.05741141411747322,-0.21932730567655906,-0.6431563605058255,-0.5857449463883523
cameras,8,cameras_8,42,cam3,False,0.30168638303251,0.13977049147342416,-0.6431563605058255,-0.9448427435383355
cameras,8,cameras_8,42,cam4,False,0.3876483637048811,0.22573247214579525,-0.6431563605058255,-1.0308047242107066
cameras,8,cameras_8,42,cam5,False,-0.18041280328991507,-0.3423286948490009,-0.6431563605058255,-0.46274355721591043
cameras,8,cameras_8,42,cam6,False,0.4966385460568544,0.3347226544977686,-0.6431563605058255,-1.1397949065626798
cameras,8,cameras_8,42,cam7,False,0.12765449330852385,-0.034261398250561986,-0.6431563605058255,-0.7708108538143493
index,1.333,baseline,42,cam0,True,0.0,-0.42655281499644127,0.7127005245057827,0.7127005245057827
index,1.333,baseline,42,cam1,False,-0.0006165074853030708,-0.42716932248174433,0.7127005245057827,0.7133170319910858
index,1.333,baseline,42,cam10,False,0.2529252534225024,-0.17362756157393888,0.7127005245057827,0.4597752710832803
index,1.333,baseline,42,cam11,False,1.091822269385472,0.6652694543890307,0.7127005245057827,-0.3791217448796893
index,1.333,baseline,42,cam2,False,0.6316168141009427,0.20506399910450146,0.7127005245057827,0.08108371040483997
index,1.333,baseline,42,cam3,False,0.21350590599596933,-0.21304690900047193,0.7127005245057827,0.4991946185098134
index,1.333,baseline,42,cam4,False,-0.021021567617701947,-0.44757438261414323,0.7127005245057827,0.7337220921234846
index,1.333,baseline,42,cam5,False,0.004811104652509279,-0.421741710343932,0.7127005245057827,0.7078894198532735
index,1.333,baseline,42,cam6,False,0.6246489496292374,0.19809613463279618,0.7127005245057827,0.08805157487654525
index,1.333,baseline,42,cam7,False,0.6896404149825501,0.26308759998610887,0.7127005245057827,0.023060109523232564
index,1.333,baseline,42,cam8,False,0.7345333902258993,0.307980575229458,0.7127005245057827,-0.021832865720116557
index,1.333,baseline,42,cam9,False,0.47021493766877687,0.0436621226723356,0.7127005245057827,0.24248558683700583
index,1.36,index_1.36,42,cam0,True,0.0,-0.2569581277117165,-0.2714812610595807,-0.2714812610595807
index,1.36,index_1.36,42,cam1,False,0.17359684725885666,-0.08336128045285984,-0.2714812610595807,-0.44507810831843736
index,1.36,index_1.36,42,cam10,False,-0.020251383658581215,-0.2772095113702977,-0.2714812610595807,-0.2512298774009995
index,1.36,index_1.36,42,cam11,False,0.7420817298420469,0.4851236021303304,-0.2714812610595807,-1.0135629909016277
index,1.36,index_1.36,42,cam2,False,0.5279917551771112,0.27103362746539467,-0.2714812610595807,-0.7994730162366919
index,1.36,index_1.36,42,cam3,False,0.770973244871703,0.5140151171599865,-0.2714812610595807,-1.0424545059312837
index,1.36,index_1.36,42,cam4,False,0.07368151445146377,-0.18327661326025274,-0.2714812610595807,-0.34516277551104446
index,1.36,index_1.36,42,cam5,False,0.1003670578798169,-0.1565910698318996,-0.2714812610595807,-0.3718483189393976
index,1.36,index_1.36,42,cam6,False,0.5176629528957682,0.26070482518405175,-0.2714812610595807,-0.789144213955349
index,1.36,index_1.36,42,cam7,False,0.7218257506931515,0.46486762298143497,-0.2714812610595807,-0.9933070117527322
index,1.36,index_1.36,42,cam8,False,-0.3463768937614683,-0.6033350214731847,-0.2714812610595807,0.0748956327018876
index,1.36,index_1.36,42,cam9,False,-0.4350131708209873,-0.6919712985327038,-0.2714812610595807,0.16353190976140658
