arm,shared_interface,refine_intrinsics,intrinsics_source,camera,water_z_recovered_m,water_z_gt_m,water_z_error_mm,camera_height_recovered_m,camera_height_gt_m,camera_height_drift_mm,surface_height_sum_m,focal_length_recovered_px,focal_length_gt_px,focal_drift_pct,standoff_m,reprojection_rms_px_control,degenerate_observations_at_solution,degenerate_observations_cause_above_interface,degenerate_observations_cause_behind_camera,degenerate_observations_cause_interface_below_camera,degenerate_observations_fate_extended,degenerate_observations_fate_penalized,seed
percamera_fixed,False,False,ground_truth_fixed,cam0,1.0304490729469498,1.031,-0.5509270530501542,1.0304490729469498,1.031,-0.5509270530501542,1.0304490729469498,1587.79,1587.79,0.0,1.0304490729469498,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam1,1.0273467606657423,1.031,-3.653239334257652,1.0283556330024428,1.031,-2.6443669975571016,1.0273467606657423,1587.79,1587.79,0.0,1.0283556330024428,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam10,1.0340429030082985,1.031,3.0429030082985697,1.0334607743030169,1.031,2.4607743030169438,1.0340429030082985,1587.79,1587.79,0.0,1.0334607743030169,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam11,1.0383223534290165,1.031,7.322353429016548,1.0363648011072255,1.031,5.364801107225592,1.0383223534290165,1587.79,1587.79,0.0,1.0363648011072255,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam2,1.031604173385235,1.031,0.6041733852351072,1.0312958006732225,1.031,0.295800673222546,1.031604173385235,1587.79,1587.79,0.0,1.0312958006732225,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam3,1.0284228886853017,1.031,-2.5771113146981772,1.029126091397437,1.031,-1.8739086025629792,1.0284228886853017,1587.79,1587.79,0.0,1.029126091397437,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam4,1.0269680853777599,1.031,-4.031914622240063,1.02831307854669,1.031,-2.686921453309843,1.0269680853777599,1587.79,1587.79,0.0,1.02831307854669,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam5,1.0344934987241305,1.031,3.493498724130628,1.0338783107274114,1.031,2.878310727411515,1.0344934987241305,1587.79,1587.79,0.0,1.0338783107274114,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam6,1.0320441568797656,1.031,1.0441568797656675,1.0322156919465049,1.031,1.2156919465049487,1.0320441568797656,1587.79,1587.79,0.0,1.0322156919465049,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam7,1.0304869427658605,1.031,-0.5130572341394135,1.0313014243429954,1.031,0.30142434299551546,1.0304869427658605,1587.79,1587.79,0.0,1.0313014243429954,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam8,1.0339021932032286,1.031,2.902193203228709,1.0336581646956513,1.031,2.6581646956513882,1.0339021932032286,1587.79,1587.79,0.0,1.0336581646956513,0.4995324693586264,0,0,0,0,0,0,42
percamera_fixed,False,False,ground_truth_fixed,cam9,1.03143046256271,1.031,0.43046256271006555,1.0318595398180512,1.031,0.8595398180513136,1.03143046256271,1587.79,1587.79,0.0,1.0318595398180512,0.4995324693586264,0,0,0,0,0,0,42
percamera_refined,False,True,refined_from_ground_truth,cam0,1.0237643177241351,1.031,-7.2356822758647965,1.0237643177241351,1.031,-7.2356822758647965,1.0237643177241351,1585.5232921468212,1587.79,-0.14275866790814823,1.0237643177241351,0.4989389940234133,0,0,0,0,0,0,42
