seed,noise_std,camera,model,focal_length_error_pct,z_position_error_mm,xy_position_error_mm,gt_x_m,gt_y_m,gt_z_m,est_x_m,est_y_m,est_z_m,reprojection_rms_px
42,0.25,cam0,non_refractive,5.73438349292853,29.184499297723036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1954246549373264
42,0.25,cam0,refractive,-0.0733320696490852,0.3718424620519741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24949084496947666
42,0.25,cam1,non_refractive,6.389639283514524,19.55683053938977,1.0459309089567572,0.208,0.2419,0.0,0.20763776814525048,0.2409187968866153,-0.009627668758333263,1.1954246549373264
42,0.25,cam1,refractive,-0.04832798016118888,-0.35701031359844587,0.09472130071373341,0.208,0.2419,0.0,0.20807813995390417,0.2418464624205557,-0.00072885277565042,0.24949084496947666
42,0.25,cam10,non_refractive,6.000430882829341,7.143482424165612,6.4583604244538195,-0.6639,0.0038,0.0,-0.6579520948908576,0.006316514292585771,-0.022041016873557424,1.1954246549373264
42,0.25,cam10,refractive,-0.0900563691631433,0.4819178444123354,0.17074227977255693,-0.6639,0.0038,0.0,-0.6637293461213418,0.0038054936145509883,0.00011007538236036137,0.24949084496947666
42,0.25,cam11,non_refractive,5.3867034911706835,26.9181541973409,4.331783997061031,-0.3364,-0.0573,0.0,-0.33256493356554917,-0.055285895226026505,-0.002266345100382136,1.1954246549373264
42,0.25,cam11,refractive,-0.09243920221604372,0.6571576198732161,0.12238103095392944,-0.3364,-0.0573,0.0,-0.3363039759850388,-0.05722412836308551,0.00028531515782124193,0.24949084496947666
42,0.25,cam2,non_refractive,7.033729642894661,8.403534764346535,3.3149718695648405,0.3353,0.573,0.0,0.33469909253996105,0.5697399465157031,-0.0207809645333765,1.1954246549373264
42,0.25,cam2,refractive,-0.043016209439703974,-0.25857968326196595,0.12119104753753424,0.3353,0.573,0.0,0.33522551898693687,0.5729043974440909,-0.00063042214531394,0.24949084496947666
42,0.25,cam3,non_refractive,6.170351772328809,9.101348387979172,6.240125813476281,0.2227,0.8684,0.0,0.2196419077945933,0.8629605843851343,-0.020083150909743865,1.1954246549373264
42,0.25,cam3,refractive,-0.0446809164655854,-0.43945462548753783,0.12756853011757366,0.2227,0.8684,0.0,0.22264509283184158,0.8682848525607701,-0.0008112970875395119,0.24949084496947666
42,0.25,cam4,non_refractive,5.700095598632116,7.228631596033086,7.5066717566392915,0.0039,1.149,0.0,0.0009302546695622309,1.142105746339576,-0.02195586770168995,1.1954246549373264
42,0.25,cam4,refractive,-0.052485967534523885,-0.23666886592997677,0.01656439353721686,0.0039,1.149,0.0,0.0039056562320172353,1.1489844312437034,-0.0006085113279819508,0.24949084496947666
42,0.25,cam5,non_refractive,5.491849979963638,1.0952329065680644,9.424418062310197,-0.3363,1.193,0.0,-0.3361206809811807,1.1835772880494686,-0.02808926639115497,1.1954246549373264
42,0.25,cam5,refractive,-0.08354207093197885,0.26462267847586396,0.2889772715514224,-0.3363,1.193,0.0,-0.3363298418527572,1.1927125676996277,-0.00010721978357611012,0.24949084496947666
42,0.25,cam6,non_refractive,6.556463303000319,-24.00892593717503,11.00878733984207,-0.6801,1.1523,0.0,-0.6756982540157824,1.1422095078918673,-0.05319342523489806,1.1954246549373264
42,0.25,cam6,refractive,-0.09112214468755149,0.304176289623424,0.22199009178821047,-0.6801,1.1523,0.0,-0.6800969493412767,1.1520780308707648,-6.766617242855003e-05,0.24949084496947666
42,0.25,cam7,non_refractive,6.697525932639252,-24.562700553353558,9.822684843081134,-0.8868,0.8828,0.0,-0.8802108292231905,0.8755152236821894,-0.053747199851076594,1.1954246549373264
42,0.25,cam7,refractive,-0.050483705839661636,-0.34781978381585493,0.17529285754193782,-0.8868,0.8828,0.0,-0.8867147465121417,0.8826468352889429,-0.000719662245867829,0.24949084496947666
42,0.25,cam8,non_refractive,6.4576358487090975,-21.12736936108182,9.72962361601305,-1.0023,0.5654,0.0,-0.992658647420357,0.5640923700277635,-0.050311868658804854,1.1954246549373264
42,0.25,cam8,refractive,-0.06274190223136429,0.059036339763812284,0.1547616602287226,-1.0023,0.5654,0.0,-1.00214818895203,0.5653699238102309,-0.0003128061222881618,0.24949084496947666
42,0.25,cam9,non_refractive,6.294711628831043,-9.74821896421269,7.090554527842061,-0.8949,0.2677,0.0,-0.8880307244960967,0.26945756011668864,-0.03893271826193573,1.1954246549373264
42,0.25,cam9,refractive,-0.055865303710671395,-0.12737750005487025,0.12444807037904324,-0.8949,0.2677,0.0,-0.8947806472200008,0.26773524537029925,-0.0004992199621068444,0.24949084496947666
42,0.5,cam0,non_refractive,5.702394175276402,26.748614684738826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2669003363755043
42,0.5,cam0,refractive,-0.14838977014951554,0.7427220119525993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499007097764071
42,0.5,cam1,non_refractive,6.360726207956283,17.572479484443072,1.0939624854708498,0.208,0.2419,0.0,0.20774662385329987,0.24083578458576238,-0.009176135200295754,1.2669003363755043
42,0.5,cam1,refractive,-0.10134905373583052,-0.6988674078899589,0.1904162397770827,0.208,0.2419,0.0,0.20814465416864691,0.24177617142549512,-0.0014415894198425584,0.499007097764071
42,0.5,cam10,non_refractive,5.973804021063972,5.427149087710784,6.577741665761546,-0.6639,0.0038,0.0,-0.6578291683211562,0.0063321311475991685,-0.02132146559702804,1.2669003363755043
42,0.5,cam10,refractive,-0.18457135502260147,0.9972729340622954,0.3761992745327286,-0.6639,0.0038,0.0,-0.6635238025219495,0.0038011626123115073,0.00025455092210969614,0.499007097764071
42,0.5,cam11,non_refractive,5.340681957450034,24.911822762295678,4.457769160441983,-0.3364,-0.0573,0.0,-0.3325000732726384,-0.055140769255267376,-0.0018367919224431487,1.2669003363755043
42,0.5,cam11,refractive,-0.18501598282370024,1.2777563292748289,0.2664663304011726,-0.3364,-0.0573,0.0,-0.33618763566018883,-0.057139047546107415,0.0005350343173222294,0.499007097764071
42,0.5,cam2,non_refractive,7.025492673966732,7.391307673730317,3.513416707391619,0.3353,0.573,0.0,0.33457969236082813,0.5695612133150296,-0.019357307011008507,1.2669003363755043
42,0.5,cam2,refractive,-0.09385871112855586,-0.4616484282031307,0.2705179993552823,0.3353,0.573,0.0,0.3351374895889515,0.5727837354530302,-0.00120437044015573,0.499007097764071
42,0.5,cam3,non_refractive,6.171291835382989,9.185763323906016,6.371630743100856,0.2227,0.8684,0.0,0.219683236003804,0.8627877978192439,-0.01756285136083281,1.2669003363755043
42,0.5,cam3,refractive,-0.09687643776083206,-0.8302947674392273,0.28032741630711,0.2227,0.8684,0.0,0.2225940833282597,0.8681404520873116,-0.0015730167793918267,0.499007097764071
42,0.5,cam4,non_refractive,5.724298560802018,8.521682623967902,7.422829609323765,0.0039,1.149,0.0,0.001029965797290485,1.1421544683855576,-0.018226932060770924,1.2669003363755043
42,0.5,cam4,refractive,-0.10768293741611706,-0.4851894717454016,0.07157200895095313,0.0039,1.149,0.0,0.0039122736517820545,1.1489294882283785,-0.0012279114836980009,0.499007097764071
42,0.5,cam5,non_refractive,5.47466365163526,3.5655944222343052,9.578829398382613,-0.3363,1.193,0.0,-0.3361821944723735,1.1834218950464626,-0.02318302026250452,1.2669003363755043
42,0.5,cam5,refractive,-0.17141099431743093,0.5442909138498777,0.5929078989462362,-0.3363,1.193,0.0,-0.33635609761966406,1.192409751888016,-0.00019843109810272158,0.499007097764071
42,0.5,cam6,non_refractive,6.538958593842653,-21.415995482790628,10.971049105472213,-0.6801,1.1523,0.0,-0.6757529258048472,1.142226923785828,-0.04816461016752945,1.2669003363755043
42,0.5,cam6,refractive,-0.1947515174793041,0.7589814811074291,0.5245250978832362,-0.6801,1.1523,0.0,-0.6800763319938576,1.1517760091567646,1.6259469154829834e-05,0.499007097764071
42,0.5,cam7,non_refractive,6.727419821488471,-23.655182016724027,9.80191346047217,-0.8868,0.8828,0.0,-0.8802428723651436,0.8755142890074621,-0.050403796701462854,1.2669003363755043
42,0.5,cam7,refractive,-0.09871621936780703,-0.7894487842989103,0.39046744691851626,-0.8868,0.8828,0.0,-0.8866232870285892,0.88245180845381,-0.0015321707962515096,0.499007097764071
42,0.5,cam8,non_refractive,6.485334728071307,-20.89840091647317,9.698437041098524,-1.0023,0.5654,0.0,-0.9926659718349641,0.5642841226073412,-0.047647015601212,1.2669003363755043
42,0.5,cam8,refractive,-0.12083036628222554,-0.009852035089373268,0.3135676671070852,-1.0023,0.5654,0.0,-1.0019963961183604,0.565321582113594,-0.0007525740470419726,0.499007097764071
42,0.5,cam9,non_refractive,6.303465981026863,-10.606220962300256,7.139853830145525,-0.8949,0.2677,0.0,-0.8880268209318247,0.26963311205382423,-0.03735483564703908,1.2669003363755043
42,0.5,cam9,refractive,-0.11200001767421569,-0.3030007636284272,0.27117442712426637,-0.8949,0.2677,0.0,-0.8946386259233708,0.2677722437678448,-0.0010457227755810265,0.499007097764071
42,0.82,cam0,non_refractive,5.652839219805665,30.839677740921164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4175023916788558
42,0.82,cam0,refractive,-0.22894408927714183,1.1027207222260509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8186062376584137
42,0.82,cam1,non_refractive,6.347802980439258,18.40504389976291,1.4073275229993665,0.208,0.2419,0.0,0.20789361863266811,0.24049669897681356,-0.012434633841158255,1.4175023916788558
42,0.82,cam1,refractive,-0.15811149339859099,-1.1538117944881174,0.283866108165013,0.208,0.2419,0.0,0.20819629201348436,0.24169494046521314,-0.0022565325167141683,0.8186062376584137
42,0.82,cam10,non_refractive,5.931846454931266,11.791362048974548,6.771101528121772,-0.6639,0.0038,0.0,-0.657590560723627,0.006257395353192877,-0.019048315691946618,1.4175023916788558
42,0.82,cam10,refractive,-0.2894451927753534,1.4201822574297982,0.6342406661539635,-0.6639,0.0038,0.0,-0.6632663436712735,0.003827219104837793,0.00031746153520374737,0.8186062376584137
42,0.82,cam11,non_refractive,5.279903463250024,30.831137581727884,4.623823079265179,-0.3364,-0.0573,0.0,-0.3324237430616858,-0.054940101563868936,-8.540159193279676e-06,1.4175023916788558
42,0.82,cam11,refractive,-0.3025513624094328,2.0645516964586204,0.500451297347419,-0.3364,-0.0573,0.0,-0.33603331970982636,-0.05695941658024074,0.0009618309742325696,0.8186062376584137
42,0.82,cam2,non_refractive,7.001021783199849,5.620694242430222,4.120265902506217,0.3353,0.573,0.0,0.33433249275424154,0.5689949380982611,-0.025218983498490943,1.4175023916788558
42,0.82,cam2,refractive,-0.1632348101770347,-0.41520266936839567,0.5264039128592942,0.3353,0.573,0.0,0.334897842044408,0.5726603383179873,-0.0015179233915944466,0.8186062376584137
42,0.82,cam3,non_refractive,6.172466603028514,5.125117959901164,6.879800378927911,0.2227,0.8684,0.0,0.21970641279396827,0.8622056405582352,-0.02571455978102,1.4175023916788558
42,0.82,cam3,refractive,-0.1697391449471553,-1.121377586163964,0.5134449429346095,0.2227,0.8684,0.0,0.22244987920973197,0.8679515969450362,-0.002224098308390015,0.8186062376584137
42,0.82,cam4,non_refractive,5.778180098072222,2.647471328679014,7.699903674670515,0.0039,1.149,0.0,0.0011301590474981295,1.1418155377586734,-0.02819220641224215,1.4175023916788558
42,0.82,cam4,refractive,-0.180830989497211,-0.5558327850157541,0.12174717562174305,0.0039,1.149,0.0,0.0038294729056459467,1.148900761379827,-0.0016585535072418049,0.8186062376584137
42,0.82,cam5,non_refractive,5.456336684568782,-0.4070639368348985,10.209199846806147,-0.3363,1.193,0.0,-0.33629388943618205,1.1827908019818874,-0.031246741677756065,1.4175023916788558
42,0.82,cam5,refractive,-0.29397123217055915,1.2494324647801958,0.9626992952441866,-0.3363,1.193,0.0,-0.33641238167162957,1.1920438826991706,0.0001467117425541449,0.8186062376584137
42,0.82,cam6,non_refractive,6.523196574273375,-24.075714377438498,11.622299994693781,-0.6801,1.1523,0.0,-0.6757546648478887,1.14152057888463,-0.05491539211835966,1.4175023916788558
42,0.82,cam6,refractive,-0.3389433613359873,1.6189031836071042,0.9509678897489389,-0.6801,1.1523,0.0,-0.6799909402610074,1.1513553064514541,0.0005161824613810534,0.8186062376584137
42,0.82,cam7,non_refractive,6.764526880860437,-24.63630329410709,10.264587607215958,-0.8868,0.8828,0.0,-0.8802010390642048,0.8749377183137426,-0.05547598103502825,1.4175023916788558
42,0.82,cam7,refractive,-0.13842381356610103,-1.6139945898620767,0.5730679509575625,-0.8868,0.8828,0.0,-0.8865503875893691,0.8822841506800686,-0.0027167153120881277,0.8186062376584137
