test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m
1.1,non_refractive,0.2000177984745249,0.8947586330273035,1.0033336299745754,1.1824180883607724,1.8966756493207828
1.1,refractive,0.02788966439486355,0.4025468481776271,1.0004648277399144,1.1824180883607724,1.8966756493207828
1.2,non_refractive,0.13423108772059686,0.7286052124777163,1.0022371847953433,1.1824180883607724,1.8966756493207828
1.2,refractive,0.023882521213263938,0.37840291855113134,1.000398042020221,1.1824180883607724,1.8966756493207828
1.3,non_refractive,0.1251963168352371,0.5813753689695291,1.0020866052805872,1.1824180883607724,1.8966756493207828
1.3,refractive,0.02542133352541077,0.40411168447140533,1.00042368889209,1.1824180883607724,1.8966756493207828
1.4,non_refractive,0.14751927361359432,0.46564276050986625,1.0024586545602265,1.1824180883607724,1.8966756493207828
1.4,refractive,0.02701984099817029,0.3918342563256763,1.0004503306833028,1.1824180883607724,1.8966756493207828
1.5,non_refractive,0.1788393270543868,0.48870311386396464,1.0029806554509064,1.1824180883607724,1.8966756493207828
1.5,refractive,0.03303059389326501,0.42214706103244404,1.000550509898221,1.1824180883607724,1.8966756493207828
1.7,non_refractive,0.24617959782227894,0.49878219691407266,1.004102993297038,1.1824180883607724,1.8966756493207828
1.7,refractive,0.035457743867379876,0.3981358165652466,1.0005909623977898,1.1824180883607724,1.8966756493207828
2.0,non_refractive,0.3468287022207187,0.5763634187716073,1.0057804783703452,1.1824180883607724,1.8966756493207828
2.0,refractive,0.03332005241201154,0.3845335548839445,1.000555334206867,1.1824180883607724,1.8966756493207828
2.5,non_refractive,0.5709196551875705,0.9211616101424541,1.0095153275864595,1.1824180883607724,1.8966756493207828
2.5,refractive,0.048225545843282695,0.41348140888408663,1.000803759097388,1.1824180883607724,1.8966756493207828
