axis,axis_value,config_key,seed,camera,is_reference_camera,z_position_error_mm_raw,z_position_error_mm_gauge_corrected,water_z_error_mm_signed,h_c_error_mm_signed
index,1.333,baseline,42,cam0,True,0.0,-0.42655281499644127,0.7127005245057827,0.7127005245057827
index,1.333,baseline,42,cam1,False,-0.0006165074853030708,-0.42716932248174433,0.7127005245057827,0.7133170319910858
index,1.333,baseline,42,cam10,False,0.2529252534225024,-0.17362756157393888,0.7127005245057827,0.4597752710832803
index,1.333,baseline,42,cam11,False,1.091822269385472,0.6652694543890307,0.7127005245057827,-0.3791217448796893
index,1.333,baseline,42,cam2,False,0.6316168141009427,0.20506399910450146,0.7127005245057827,0.08108371040483997
index,1.333,baseline,42,cam3,False,0.21350590599596933,-0.21304690900047193,0.7127005245057827,0.4991946185098134
index,1.333,baseline,42,cam4,False,-0.021021567617701947,-0.44757438261414323,0.7127005245057827,0.7337220921234846
index,1.333,baseline,42,cam5,False,0.004811104652509279,-0.421741710343932,0.7127005245057827,0.7078894198532735
index,1.333,baseline,42,cam6,False,0.6246489496292374,0.19809613463279618,0.7127005245057827,0.08805157487654525
index,1.333,baseline,42,cam7,False,0.6896404149825501,0.26308759998610887,0.7127005245057827,0.023060109523232564
index,1.333,baseline,42,cam8,False,0.7345333902258993,0.307980575229458,0.7127005245057827,-0.021832865720116557
index,1.333,baseline,42,cam9,False,0.47021493766877687,0.0436621226723356,0.7127005245057827,0.24248558683700583
index,1.36,index_1.36,42,cam0,True,0.0,-0.2569581277117165,-0.2714812610595807,-0.2714812610595807
index,1.36,index_1.36,42,cam1,False,0.17359684725885666,-0.08336128045285984,-0.2714812610595807,-0.44507810831843736
index,1.36,index_1.36,42,cam10,False,-0.020251383658581215,-0.2772095113702977,-0.2714812610595807,-0.2512298774009995
index,1.36,index_1.36,42,cam11,False,0.7420817298420469,0.4851236021303304,-0.2714812610595807,-1.0135629909016277
index,1.36,index_1.36,42,cam2,False,0.5279917551771112,0.27103362746539467,-0.2714812610595807,-0.7994730162366919
index,1.36,index_1.36,42,cam3,False,0.770973244871703,0.5140151171599865,-0.2714812610595807,-1.0424545059312837
index,1.36,index_1.36,42,cam4,False,0.07368151445146377,-0.18327661326025274,-0.2714812610595807,-0.34516277551104446
index,1.36,index_1.36,42,cam5,False,0.1003670578798169,-0.1565910698318996,-0.2714812610595807,-0.3718483189393976
index,1.36,index_1.36,42,cam6,False,0.5176629528957682,0.26070482518405175,-0.2714812610595807,-0.789144213955349
index,1.36,index_1.36,42,cam7,False,0.7218257506931515,0.46486762298143497,-0.2714812610595807,-0.9933070117527322
index,1.36,index_1.36,42,cam8,False,-0.3463768937614683,-0.6033350214731847,-0.2714812610595807,0.0748956327018876
index,1.36,index_1.36,42,cam9,False,-0.4350131708209873,-0.6919712985327038,-0.2714812610595807,0.16353190976140658
index,1.39,index_1.39,42,cam0,True,0.0,-0.4001542521226112,0.3170786660782188,0.3170786660782188
index,1.39,index_1.39,42,cam1,False,0.46396987233413617,0.06381562021152498,0.3170786660782188,-0.1468912062559174
index,1.39,index_1.39,42,cam10,False,0.08951291601923105,-0.31064133610338013,0.3170786660782188,0.22756575005898771
index,1.39,index_1.39,42,cam11,False,1.1731837001522036,0.7730294480295925,0.3170786660782188,-0.8561050340739849
index,1.39,index_1.39,42,cam2,False,0.6414279169666406,0.2412736648440294,0.3170786660782188,-0.3243492508884218
index,1.39,index_1.39,42,cam3,False,0.9844362137508599,0.5842819616282486,0.3170786660782188,-0.6673575476726411
index,1.39,index_1.39,42,cam4,False,0.07387146253350031,-0.3262827895891109,0.3170786660782188,0.24320720354471848
index,1.39,index_1.39,42,cam5,False,0.24349805493804802,-0.15665619718456317,0.3170786660782188,0.07358061114017075
index,1.39,index_1.39,42,cam6,False,0.521022646093459,0.12086839397084786,0.3170786660782188,-0.20394398001524028
index,1.39,index_1.39,42,cam7,False,1.179682986236527,0.7795287341139159,0.3170786660782188,-0.8626043201583082
index,1.39,index_1.39,42,cam8,False,-0.7549470610379869,-1.155101313160598,0.3170786660782188,1.0720257271162057
index,1.39,index_1.39,42,cam9,False,-0.2139619346378961,-0.6141161867605073,0.3170786660782188,0.5310406007161148
index,1.42,index_1.42,42,cam0,True,0.0,-0.0635670779782472,0.2108898041837115,0.2108898041837115
index,1.42,index_1.42,42,cam1,False,-0.15364688404495563,-0.21721396202320284,0.2108898041837115,0.36453668822866714
index,1.42,index_1.42,42,cam10,False,0.03491583863402122,-0.028651239344225983,0.2108898041837115,0.17597396554969028
