camera,model,focal_length_error_pct,z_position_error_mm,xy_position_error_mm,gt_x_m,gt_y_m,gt_z_m,est_x_m,est_y_m,est_z_m,reprojection_rms_px
cam0,non_refractive,5.700133098432046,16.370413312426074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2668763284509752
cam0,refractive,-0.1579829410181966,0.40067912811625084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49903604691219283
cam1,non_refractive,6.358103774504547,4.777040186577347,1.0972798567992468,0.208,0.2419,0.0,0.20755416488602138,0.240897376374066,-0.011593373125848726,1.2668763284509752
cam1,refractive,-0.10599295144101024,-0.9218515268138031,0.25039465847916315,0.208,0.2419,0.0,0.20814248458689866,0.24169409801484393,-0.001322530654930054,0.49903604691219283
cam10,non_refractive,5.972023713222659,7.253396020051502,6.353521358549614,-0.6639,0.0038,0.0,-0.6581137125742361,0.006424140141073342,-0.00911701729237457,1.2668763284509752
cam10,refractive,-0.18428058459662738,0.5068799690471206,0.3812378197555291,-0.6639,0.0038,0.0,-0.6635191287983675,0.003783284648405503,0.00010620084093086973,0.49903604691219283
cam11,non_refractive,5.339052956020242,20.352413086262132,4.469530949604765,-0.3364,-0.0573,0.0,-0.33248310686951926,-0.05514717508518043,0.003981999773836058,1.2668763284509752
cam11,refractive,-0.1848343125395181,0.7702160871127526,0.24634135776217517,-0.3364,-0.0573,0.0,-0.33618516192999004,-0.05717946507469402,0.00036953695899650174,0.49903604691219283
cam2,non_refractive,7.022871487010924,-5.806772742436724,3.49459793976221,0.3353,0.573,0.0,0.33419485181437436,0.5696847530637373,-0.022177186054862796,1.2668763284509752
cam2,refractive,-0.1031177476079136,-0.42050424220347227,0.35739134317738636,0.3353,0.573,0.0,0.3351417865393968,0.5726795361595092,-0.0008211833703197231,0.49903604691219283
cam3,non_refractive,6.1695585129268915,-0.1777528671044344,6.440677548943393,0.2227,0.8684,0.0,0.2193708680212258,0.862886452361921,-0.016548166179530508,1.2668763284509752
cam3,refractive,-0.10415329220901359,-0.6366209148310996,0.3763036046381796,0.2227,0.8684,0.0,0.2226291918881274,0.8680304183254587,-0.0010373000429473504,0.49903604691219283
cam4,non_refractive,5.72307725338191,4.841198946773426,7.453071889770968,0.0039,1.149,0.0,0.0007626625938289271,1.1422394235013622,-0.011529214365652648,1.2668763284509752
cam4,refractive,-0.1182987454453107,-0.08617821825374844,0.18431265588583304,0.0039,1.149,0.0,0.003958144761784303,1.14882509905147,-0.0004868573463699993,0.49903604691219283
cam5,non_refractive,5.4733488579037735,6.370296027305372,9.483522739786011,-0.3363,1.193,0.0,-0.3364808186502954,1.1835182012164494,-0.010000117285120702,1.2668763284509752
cam5,refractive,-0.18425737437485198,0.9904267908239214,0.6858059395301335,-0.3363,1.193,0.0,-0.33629931340751723,1.19231419440416,0.0005897476627076706,0.49903604691219283
cam6,non_refractive,6.536175940054897,-12.550420902341894,10.502237575355716,-0.6801,1.1523,0.0,-0.6764545666672015,1.1424507457183128,-0.028920834214767967,1.2668763284509752
cam6,refractive,-0.20811013230031047,1.1671370195472868,0.603831118668239,-0.6801,1.1523,0.0,-0.679993139208276,1.151705699746707,0.0007664578914310361,0.49903604691219283
cam7,non_refractive,6.721564068419003,-12.543243441662714,9.152327353561825,-0.8868,0.8828,0.0,-0.8809631787629056,0.8757504174710158,-0.028913656754088787,1.2668763284509752
cam7,refractive,-0.10947028627883415,-0.6072616721504175,0.4649781055622961,-0.8868,0.8828,0.0,-0.886529632985305,0.8824217060454922,-0.0010079408002666684,0.49903604691219283
cam8,non_refractive,6.481845068159172,-9.555780275922572,9.009105700850904,-1.0023,0.5654,0.0,-0.9933356648784485,0.5645029596677836,-0.025926193588348644,1.2668763284509752
cam8,refractive,-0.12506173310880023,-0.12959461435823538,0.3790364954459493,-1.0023,0.5654,0.0,-1.001929864628442,0.5653183392897312,-0.0005302737424744862,0.49903604691219283
cam9,non_refractive,6.301253325266004,-2.960374037501431,6.689003342155032,-0.8949,0.2677,0.0,-0.8885506315961018,0.26980434944411336,-0.019330787349927506,1.2668763284509752
cam9,refractive,-0.11392555127404641,-0.6326486779203061,0.29980657313433623,-0.8949,0.2677,0.0,-0.894606759290403,0.26776240086160935,-0.0010333278060365568,0.49903604691219283
