arm,shared_interface,refine_intrinsics,intrinsics_source,camera,water_z_recovered_m,water_z_gt_m,water_z_error_mm,camera_height_recovered_m,camera_height_gt_m,camera_height_drift_mm,surface_height_sum_m,focal_length_recovered_px,focal_length_gt_px,focal_drift_pct,standoff_m,reprojection_rms_px_control,seed
percamera_fixed,False,False,ground_truth_fixed,cam0,1.0317999307427415,1.031,0.7999307427415392,1.0317999307427415,1.031,0.7999307427415392,1.0317999307427415,1587.79,1587.79,0.0,1.0317999307427415,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam1,1.027998001372097,1.031,-3.0019986279028466,1.0292538257310162,1.031,-1.7461742689837134,1.027998001372097,1587.79,1587.79,0.0,1.0292538257310162,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam10,1.0329929844262857,1.031,1.9929844262858154,1.0326960324230285,1.031,1.6960324230286261,1.0329929844262857,1587.79,1587.79,0.0,1.0326960324230285,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam11,1.0377300927490185,1.031,6.73009274901859,1.0361208030688187,1.031,5.120803068818791,1.0377300927490185,1587.79,1587.79,0.0,1.0361208030688187,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam2,1.0321111449075588,1.031,1.1111449075589253,1.03209559266636,1.031,1.0955926663600568,1.0321111449075588,1587.79,1587.79,0.0,1.03209559266636,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam3,1.0289861830292935,1.031,-2.0138169707064613,1.0298465762189184,1.031,-1.1534237810815196,1.0289861830292935,1587.79,1587.79,0.0,1.0298465762189184,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam4,1.0274938342645783,1.031,-3.506165735421618,1.0288345973406257,1.031,-2.1654026593742604,1.0274938342645783,1587.79,1587.79,0.0,1.0288345973406257,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam5,1.0346792627893608,1.031,3.6792627893609264,1.0339591509834358,1.031,2.9591509834359098,1.0346792627893608,1587.79,1587.79,0.0,1.0339591509834358,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam6,1.0311124562598306,1.031,0.11245625983069552,1.0313162798529898,1.031,0.3162798529898758,1.0311124562598306,1587.79,1587.79,0.0,1.0313162798529898,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam7,1.029553997014647,1.031,-1.4460029853529122,1.0303438560500624,1.031,-0.6561439499375155,1.029553997014647,1587.79,1587.79,0.0,1.0303438560500624,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam8,1.0331678667905817,1.031,2.167866790581785,1.0328394439297532,1.031,1.839443929753326,1.0331678667905817,1587.79,1587.79,0.0,1.0328394439297532,0.49955965254052914,42
percamera_fixed,False,False,ground_truth_fixed,cam9,1.030724787772407,1.031,-0.2752122275928581,1.0311741832162604,1.031,0.17418321626050393,1.030724787772407,1587.79,1587.79,0.0,1.0311741832162604,0.49955965254052914,42
percamera_refined,False,True,refined_from_ground_truth,cam0,1.0234444745326723,1.031,-7.555525467327628,1.0234444745326723,1.031,-7.555525467327628,1.0234444745326723,1585.3853734245417,1587.79,-0.15144487466593337,1.0234444745326723,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam1,1.0271306288748667,1.031,-3.869371125133192,1.0275919602810584,1.031,-3.408039718941547,1.0271306288748667,1586.3167625235444,1587.79,-0.09278541094575175,1.0275919602810584,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam10,1.022372406665433,1.031,-8.627593334566974,1.0224623386219778,1.031,-8.537661378022143,1.022372406665433,1584.8824801504504,1587.79,-0.1831174052960117,1.0224623386219778,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam11,1.0308650028413926,1.031,-0.13499715860731953,1.0288100110723413,1.031,-2.189988927658648,1.0308650028413926,1585.3292554124387,1587.79,-0.1549792219097799,1.0288100110723413,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam2,1.0231048366256308,1.031,-7.89516337436913,1.0238754491031345,1.031,-7.124550896865367,1.0231048366256308,1586.1236309936687,1587.79,-0.10494895460553672,1.0238754491031345,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam3,1.0246348503026168,1.031,-6.36514969738311,1.0252597215076555,1.031,-5.740278492344375,1.0246348503026168,1586.1734045913822,1587.79,-0.10181418251895659,1.0252597215076555,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam4,1.0114898020852703,1.031,-19.51019791472963,1.0143234902950757,1.031,-16.67650970492418,1.0114898020852703,1585.1820235500772,1587.79,-0.16425197601211222,1.0143234902950757,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam5,1.0245688699761204,1.031,-6.431130023879517,1.023560679443539,1.031,-7.439320556460904,1.0245688699761204,1584.8789576219779,1587.79,-0.1833392563262209,1.023560679443539,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam6,1.024969452183919,1.031,-6.030547816080922,1.0236740435466254,1.031,-7.325956453374527,1.024969452183919,1584.4865193866578,1587.79,-0.20805526003704,1.0236740435466254,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam7,1.0236145860240153,1.031,-7.385413975984578,1.0244340911581256,1.031,-6.565908841874357,1.0236145860240153,1586.0151149946437,1587.79,-0.11178335959769756,1.0244340911581256,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam8,1.0249917269927447,1.031,-6.00827300725526,1.0250638113526904,1.031,-5.936188647309493,1.0249917269927447,1585.8915595566862,1587.79,-0.1195649577912572,1.0250638113526904,0.4989658261108221,42
percamera_refined,False,True,refined_from_ground_truth,cam9,1.021063356966711,1.031,-9.936643033289005,1.0226148272537001,1.031,-8.385172746299796,1.021063356966711,1585.965303707935,1587.79,-0.1149205053605973,1.0226148272537001,0.4989658261108221,42
shared_fixed,True,False,ground_truth_fixed,cam0,1.0316297963842145,1.031,0.6297963842145649,1.0316297963842145,1.031,0.6297963842145649,1.0316297963842145,1587.79,1587.79,0.0,1.0316297963842145,0.4996245176118636,42
shared_fixed,True,False,ground_truth_fixed,cam1,1.0316297963842145,1.031,0.6297963842145649,1.0318189575586436,1.031,0.8189575586436959,1.0316297963842145,1587.79,1587.79,0.0,1.0318189575586436,0.4996245176118636,42
