test_depth_m,model,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points
1.1,non_refractive,8.66420324400845,49.51218519816312,5.714568761115137,4054
1.1,refractive,0.6454570815879328,1.3470360960669743,2.086949131850935,4054
1.2,non_refractive,9.323318110070016,27.646448150122207,2.9653013898840985,4247
1.2,refractive,0.632830037584176,1.2421881260058958,1.9629095526943376,4247
1.3,non_refractive,10.03285457927661,9.4821273989882,0.9451076285481136,4282
1.3,refractive,0.6696043061859749,1.3110003398633379,1.9578732211725394,4282
1.4,non_refractive,10.830812034556164,19.94258348526951,1.8412823915364658,4294
1.4,refractive,0.6685705870583013,1.3026394402910302,1.9483947776144632,4294
1.5,non_refractive,11.628706499703998,39.629775267942414,3.407926347522071,4288
1.5,refractive,0.7100675042863236,1.4971113025833043,2.1084070085533972,4288
1.7,non_refractive,13.327099595331811,83.18214870058335,6.2415792802899315,4312
1.7,refractive,0.7226613281396844,1.5152966369873009,2.0968281793742345,4312
2.0,non_refractive,15.75670841597621,147.24811017864405,9.345105988592433,4312
2.0,refractive,0.755679324317524,1.6486916635688278,2.1817345142502202,4312
2.5,non_refractive,19.635425055755423,248.2667685366639,12.643819414741591,4312
2.5,refractive,0.8834464415282424,1.9375999763160514,2.1932285707827024,4312
