camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.3382268056794775,0.5798022245499309,-0.0009770585958395507,753.3349164092434,753.0335402366339,802.8572164949545,562.5390194321413,1.0738403981732678,1.0748174567691073,14.856381427044548
e3v829d,0.0,0.0,0.0,1597.7093999456456,1596.4148109379928,841.051790055847,593.0704335662551,1.0738403981732678,1.0738403981732678,0.5537182529445406
e3v82e0,-0.3366543511245457,-0.06047222436627019,-0.006385905687298471,1612.5798096472802,1612.773856614925,748.0880611526469,590.276836101108,1.0738403981732678,1.0802263038605664,0.6993395692712564
e3v82f9,0.33693956820674875,0.5750164183226081,-0.008522338167403127,1594.8381431209375,1595.6558006420446,796.6402780968206,566.7554323724274,1.0738403981732678,1.082362736340671,0.6127228587742772
e3v831e,-0.8990204394757774,0.26568938932878244,0.002445789610033118,1593.8255562617107,1600.002426595888,747.6966391927308,587.2585097034483,1.0738403981732678,1.0713946085632347,0.7060847436189602
e3v832e,0.20885820561307572,0.24256098761959993,0.00179109881429146,1603.923753412873,1603.0988296277317,814.911667345091,624.5523158224239,1.0738403981732678,1.0720492993589763,0.5627526568243774
e3v8334,-0.6661733812763838,0.0021614858638640804,0.0057621683172304206,1572.559218267308,1574.3472407960899,763.043215520929,602.0496498806259,1.0738403981732678,1.0680782298560374,0.6699186526942176
e3v83e9,-0.340509691596771,1.1977240895966745,0.016567829842569527,1585.7930117553121,1588.2990453930938,788.5324768227613,606.0498847955671,1.0738403981732678,1.0572725683306983,0.9380141960552685
e3v83eb,-0.8942514287075993,0.8847342757737531,-0.002479272269751592,1603.2706159393108,1606.7031172460859,747.2880299865487,613.0771773361073,1.0738403981732678,1.0763196704430193,0.9674563334813149
e3v83ee,0.0019010053013351139,1.1542893013501025,-0.03866132582462794,1630.3975898342503,1634.8720140089479,734.6827190186722,600.1237351022271,1.0738403981732678,1.1125017239978958,0.8203724849450901
e3v83ef,0.2226357048061109,0.8721098116871205,0.005429992482828115,1590.5564168739568,1590.9205819877902,821.4181807923004,612.5788820091393,1.0738403981732678,1.0684104056904398,0.5561948966559882
e3v83f0,-1.0025391873252287,0.5673068397991076,0.02666363062098196,1551.4069878333416,1559.248519736164,758.5115543685484,588.6128369295304,1.0738403981732678,1.0471767675522858,2.0815506868720615
e3v83f1,-0.6827946048095379,1.1522390148769193,-0.030657813584013018,1633.0301291054113,1636.1843928744722,718.3579318878178,588.9076296530991,1.0738403981732678,1.1044982117572808,0.7203371079983395
