camera,frame_idx,corner_id,stage,h_q_m,h_c_m,r_q_m,chord_incidence_deg,extended,nan_reason,n_flagged_at_stage,truncated
e3v831e,22,7,stage3_intrinsic_pass,-0.0018796556637590278,1.0713946088634998,0.4832362797170923,24.314761575503173,True,2,198,False
e3v83e9,22,0,stage3_intrinsic_pass,-0.06402145528818348,1.0572725707760038,0.34773297973046313,19.29493269722661,True,2,198,False
e3v83e9,22,1,stage3_intrinsic_pass,-0.055144055341837195,1.0572725707760038,0.39367972923440336,21.447061920358667,True,2,198,False
e3v83e9,22,11,stage3_intrinsic_pass,-0.02024181120771873,1.0572725707760038,0.3166833556550839,16.98136554582615,True,2,198,False
e3v83e9,22,12,stage3_intrinsic_pass,-0.01136441126137222,1.0572725707760038,0.3654812621007935,19.261413930445414,True,2,198,False
e3v83eb,22,0,stage3_intrinsic_pass,-0.06402145528818348,1.0763196745778825,0.3088216421702195,16.965366084929457,True,2,198,False
e3v83eb,22,1,stage3_intrinsic_pass,-0.055144055341837195,1.0763196745778825,0.2515062649410797,13.836054862093008,True,2,198,False
e3v83eb,22,2,stage3_intrinsic_pass,-0.04626665539549091,1.0763196745778825,0.1954031204379788,10.74148708580499,True,2,198,False
e3v83eb,22,3,stage3_intrinsic_pass,-0.0373892554491444,1.0763196745778825,0.14195682861198008,7.780568794950437,True,2,198,False
e3v83eb,22,4,stage3_intrinsic_pass,-0.02851185550279811,1.0763196745778825,0.09572610115651942,5.219963372689463,True,2,198,False
e3v83eb,22,5,stage3_intrinsic_pass,-0.019634455556451824,1.0763196745778825,0.07223306193198864,3.9105507633117598,True,2,198,False
e3v83eb,22,6,stage3_intrinsic_pass,-0.010757055610105315,1.0763196745778825,0.09118183793880244,4.8909734743710915,True,2,198,False
e3v83eb,22,7,stage3_intrinsic_pass,-0.0018796556637590278,1.0763196745778825,0.13584190606771826,7.205698411510258,True,2,198,False
e3v83eb,22,11,stage3_intrinsic_pass,-0.02024181120771873,1.0763196745778825,0.32685097557185255,17.197042644867054,True,2,198,False
e3v83eb,22,12,stage3_intrinsic_pass,-0.01136441126137222,1.0763196745778825,0.27191700212408787,14.32340338932505,True,2,198,False
e3v83eb,22,13,stage3_intrinsic_pass,-0.002487011315025933,1.0763196745778825,0.21929098339059894,11.541866477628773,True,2,198,False
e3v83f0,22,1,stage3_intrinsic_pass,-0.055144055341837195,1.0471767706702149,0.5678258711148285,29.78622784071027,True,2,198,False
e3v83f0,22,2,stage3_intrinsic_pass,-0.04626665539549091,1.0471767706702149,0.5084871176836915,26.931697006375554,True,2,198,False
e3v83f0,22,3,stage3_intrinsic_pass,-0.0373892554491444,1.0471767706702149,0.44914859604991286,23.97926659258508,True,2,198,False
e3v83f0,22,4,stage3_intrinsic_pass,-0.02851185550279811,1.0471767706702149,0.38981041206890893,20.940246573380904,True,2,198,False
e3v83f0,22,5,stage3_intrinsic_pass,-0.019634455556451824,1.0471767706702149,0.3304727476229207,17.828555870725882,True,2,198,False
e3v83f0,22,6,stage3_intrinsic_pass,-0.010757055610105315,1.0471767706702149,0.271135943810366,14.660493421842306,True,2,198,False
e3v83f0,22,7,stage3_intrinsic_pass,-0.0018796556637590278,1.0471767706702149,0.2118007239619789,11.454338849682673,True,2,198,False
e3v83f0,22,12,stage3_intrinsic_pass,-0.01136441126137222,1.0471767706702149,0.5755960568662016,29.060721990340333,True,2,198,False
e3v83f0,22,13,stage3_intrinsic_pass,-0.002487011315025933,1.0471767706702149,0.5163975704850403,26.303514339635583,True,2,198,False
e3v83f1,22,0,stage3_intrinsic_pass,-0.06402145528818348,1.1044982152404703,0.050833703253383135,2.7970279850652653,True,2,198,False
e3v83f1,22,1,stage3_intrinsic_pass,-0.055144055341837195,1.1044982152404703,0.10330661124912979,5.622525853766765,True,2,198,False
e3v83f1,22,2,stage3_intrinsic_pass,-0.04626665539549091,1.1044982152404703,0.16063259323527668,8.631233647380036,True,2,198,False
e3v83f1,22,3,stage3_intrinsic_pass,-0.0373892554491444,1.1044982152404703,0.21903375911394604,11.599368742042747,True,2,198,False
e3v83f1,22,4,stage3_intrinsic_pass,-0.02851185550279811,1.1044982152404703,0.27783291524595793,14.478232638824672,True,2,198,False
e3v83f1,22,5,stage3_intrinsic_pass,-0.019634455556451824,1.1044982152404703,0.3368216939226663,17.248195680197153,True,2,198,False
e3v83f1,22,6,stage3_intrinsic_pass,-0.010757055610105315,1.1044982152404703,0.39591534668434636,19.89937816698682,True,2,198,False
e3v83f1,22,11,stage3_intrinsic_pass,-0.02024181120771873,1.1044982152404703,0.08033600836808817,4.237483694431168,True,2,198,False
e3v83f1,22,12,stage3_intrinsic_pass,-0.01136441126137222,1.1044982152404703,0.11732333937380655,6.125963640390007,True,2,198,False
e3v83f1,22,13,stage3_intrinsic_pass,-0.002487011315025933,1.1044982152404703,0.16768434996597165,8.651880827732093,True,2,198,False
e3v83e9,23,0,stage3_intrinsic_pass,-0.05674694145687509,1.0572725707760038,0.33167449001104404,18.340371431894177,True,2,198,False
e3v83e9,23,1,stage3_intrinsic_pass,-0.0475596219907517,1.0572725707760038,0.3788078251584259,20.564276663374528,True,2,198,False
e3v83e9,23,11,stage3_intrinsic_pass,-0.01314472949119283,1.0572725707760038,0.30137427597297717,16.10011449356892,True,2,198,False
e3v83e9,23,12,stage3_intrinsic_pass,-0.003957410025069441,1.0572725707760038,0.3514437087129173,18.451526457602533,True,2,198,False
e3v83eb,23,0,stage3_intrinsic_pass,-0.05674694145687509,1.0763196745778825,0.3184284627244206,17.344398399488366,True,2,198,False
e3v83eb,23,1,stage3_intrinsic_pass,-0.0475596219907517,1.0763196745778825,0.2621206385000193,14.29440360512928,True,2,198,False
e3v83eb,23,2,stage3_intrinsic_pass,-0.03837230252462831,1.0763196745778825,0.20748242986897136,11.304250658896219,True,2,198,False
e3v83eb,23,3,stage3_intrinsic_pass,-0.0291849830585047,1.0763196745778825,0.15627499673032233,8.488207212476787,True,2,198,False
e3v83eb,23,4,stage3_intrinsic_pass,-0.01999766359238131,1.0763196745778825,0.11325182922958317,6.119497056213453,True,2,198,False
e3v83eb,23,5,stage3_intrinsic_pass,-0.01081034412625792,1.0763196745778825,0.09089150327002979,4.875717832335093,True,2,198,False
e3v83eb,23,6,stage3_intrinsic_pass,-0.001623024660134531,1.0763196745778825,0.10357480500382225,5.50492774773223,True,2,198,False
e3v83eb,23,11,stage3_intrinsic_pass,-0.01314472949119283,1.0763196745778825,0.3384923564345039,17.660371961437495,True,2,198,False
e3v83eb,23,12,stage3_intrinsic_pass,-0.003957410025069441,1.0763196745778825,0.28475681505046846,14.871219548330297,True,2,198,False
e3v83f0,23,1,stage3_intrinsic_pass,-0.0475596219907517,1.0471767706702149,0.572992470382142,29.821849106394808,True,2,198,False
e3v83f0,23,2,stage3_intrinsic_pass,-0.03837230252462831,1.0471767706702149,0.5137225638647737,26.98696818648276,True,2,198,False
e3v83f0,23,3,stage3_intrinsic_pass,-0.0291849830585047,1.0471767706702149,0.4544585354628273,24.057251647385343,True,2,198,False
e3v83f0,23,4,stage3_intrinsic_pass,-0.01999766359238131,1.0471767706702149,0.3952030296041441,21.04402893101522,True,2,198,False
e3v83f0,23,5,stage3_intrinsic_pass,-0.01081034412625792,1.0471767706702149,0.335960555844916,17.96122141048623,True,2,198,False
