e3	1	start	2026-08-02T16:46:44Z
e3	1	complete	2026-08-02T16:46:56Z	0
e7	2	start	2026-08-02T16:46:56Z
e7	2	complete	2026-08-02T16:52:34Z	0
e1	3	start	2026-08-02T16:52:35Z
e1	3	complete	2026-08-02T16:58:19Z	0
e5	4	start	2026-08-02T16:58:20Z
e5	4	complete	2026-08-02T17:20:23Z	0
e6_repeat1	5	start	2026-08-02T17:20:24Z
e6_repeat1	5	complete	2026-08-02T18:59:59Z	0
e6_repeat2	6	start	2026-08-02T19:00:00Z
e6_repeat2	6	complete	2026-08-02T20:36:21Z	0
e4	7	start	2026-08-02T20:36:22Z
e4	7	complete	2026-08-02T22:48:52Z	0
