camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.338226804250545,0.5798022228822912,-0.0009770582986189241,753.3349171752285,753.0335410419561,802.8572168334758,562.5390190064154,1.073840402979052,1.0748174612776709,14.856381423017112
e3v829d,0.0,0.0,0.0,1597.7094015605164,1596.4148114407922,841.0517957790452,593.0704350278312,1.073840402979052,1.073840402979052,0.5537182444808626
e3v82e0,-0.33665434940096356,-0.06047222504602403,-0.006385903963284317,1612.5798087181165,1612.773855377854,748.0880610918304,590.2768378730409,1.073840402979052,1.0802263069423363,0.6993395637916078
e3v82f9,0.336939568978485,0.5750164170025631,-0.008522337135497915,1594.8381440309686,1595.6558015485166,796.6402786144671,566.7554320904629,1.073840402979052,1.08236274011455,0.6127228593859703
e3v831e,-0.8990204373212536,0.26568938770695827,0.0024457902492197037,1593.8255568710563,1600.0024270120414,747.6966394059061,587.2585098374697,1.073840402979052,1.0713946127298324,0.7060847391892121
e3v832e,0.2088582063246364,0.24256098665548856,0.0017911001748255597,1603.9237535762277,1603.0988296190449,814.9116686878716,624.5523161764613,1.073840402979052,1.0720493028042264,0.5627526544384343
e3v8334,-0.666173379087591,0.002161485017475016,0.005762170802407013,1572.5592162374605,1574.3472387816366,763.0432136503293,602.0496506500076,1.073840402979052,1.068078232176645,0.6699186456717869
e3v83e9,-0.34050969026344186,1.1977240877907993,0.016567829984689253,1585.7930143134831,1588.2990477174465,788.5324781726671,606.0498848212052,1.073840402979052,1.0572725729943628,0.9380142067239621
e3v83eb,-0.8942514272156417,0.8847342736330033,-0.0024792722930698317,1603.2706178481874,1606.7031191623223,747.2880301587293,613.0771771104157,1.073840402979052,1.0763196752721218,0.9674563310557674
e3v83ee,0.001901006748106721,1.1542892993867973,-0.03866132632123438,1630.3975934462394,1634.8720170392496,734.6827226275287,600.1237351720875,1.073840402979052,1.1125017293002863,0.820372476194883
e3v83ef,0.22263570567859728,0.8721098100629835,0.005429993485105988,1590.556418215425,1590.9205832355124,821.41818177903,612.5788815287897,1.073840402979052,1.068410409493946,0.5561948965418441
e3v83f0,-1.0025391859889283,0.5673068374006452,0.026663628806085915,1551.4069913577666,1559.2485233763718,758.5115538317036,588.6128367159713,1.073840402979052,1.047176774172966,2.08155068182585
e3v83f1,-0.6827946030667716,1.1522390124538684,-0.03065781251308218,1633.0301300542808,1636.1843938954444,718.3579323928724,588.9076283536455,1.073840402979052,1.1044982154921341,0.7203371040440543
