camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.3383632140525735,0.5794434856762789,-0.0008673644518423645,753.3048916275831,753.1044452100083,803.5665019016513,561.3180528817363,1.0728611211701407,1.073728485621983,13.970405088503682
e3v829d,0.0,0.0,0.0,1597.3861162909368,1596.1105966776672,841.0383244474368,592.1460836986037,1.0728611211701407,1.0728611211701407,0.550240336766315
e3v82e0,-0.33663590458523124,-0.060566068538589,-0.006691907414004968,1612.5065940164175,1612.6742508909597,748.5798274180607,588.638719817706,1.0728611211701407,1.0795530285841457,0.6830799030587749
e3v82f9,0.33728732989680277,0.5751893065508554,-0.00921121953846304,1595.830631853302,1596.8618307297857,794.6518077297306,566.546662361525,1.0728611211701407,1.0820723407086037,0.6065723379326144
e3v831e,-0.8994723085553159,0.2658439089148001,-0.0017107236023905237,1598.7797603789036,1604.5984292298556,749.106533655815,585.4498902944828,1.0728611211701407,1.0745718447725312,0.6286394671695213
e3v832e,0.2088686895011681,0.24263470635489476,0.00192428270295225,1603.6687970164228,1602.8990036746063,814.561240717308,623.9069544220963,1.0728611211701407,1.0709368384671885,0.5439751011119078
e3v8334,-0.6664848009976065,0.001174829902325705,0.0008063360542404988,1578.740416656043,1580.8169814196094,759.9872097792478,600.8084924272613,1.0728611211701407,1.0720547851159001,0.6714125691828973
e3v83e9,-0.3404886592467621,1.1982457958989319,0.017433191656500893,1585.4549799217514,1588.0775859598546,786.140356288224,602.4474968115387,1.0728611211701407,1.0554279295136397,0.9695477711376261
e3v83eb,-0.8941612724719592,0.8848522276178242,-0.0018998852120052463,1602.9839318665195,1606.1142165648323,749.3114719923501,613.6189597750819,1.0728611211701407,1.074761006382146,0.9956853489008096
e3v83ee,0.0019528167378545418,1.154585450883445,-0.03790598022163545,1630.136717730735,1634.620591012631,733.8189590409845,599.454785993744,1.0728611211701407,1.1107671013917761,0.8236319886699431
e3v83ef,0.22274413335563267,0.8723850866899391,0.006055147283621022,1590.2132109386373,1590.7102900740676,820.5204999984055,612.2085425255142,1.0728611211701407,1.0668059738865197,0.549501985484203
e3v83f0,-1.0025762940416454,0.567403165150385,0.02712830515314746,1550.6802753705117,1558.5156694944346,758.5785275130838,588.7221537131531,1.0728611211701407,1.0457328160169932,2.122802146956281
e3v83f1,-0.6832355598637633,1.15292094504807,-0.03181966662665171,1635.184051046414,1638.2911676013796,715.8463512041698,589.171519471933,1.0728611211701407,1.1046807877967924,0.7481682311872561
