camera,frame_idx,corner_id,stage,h_q_m,h_c_m,r_q_m,chord_incidence_deg,extended,nan_reason,n_flagged_at_stage,truncated
e3v831e,22,7,stage3_intrinsic_pass,-0.0018796679770469726,1.0713946236310914,0.4832362632519837,24.31476079364632,True,2,198,False
e3v83e9,22,0,stage3_intrinsic_pass,-0.06402146315170532,1.0572725774184535,0.3477329853847679,19.29493300975049,True,2,198,False
e3v83e9,22,1,stage3_intrinsic_pass,-0.05514406384103987,1.0572725774184535,0.39367973630993064,21.4470623069395,True,2,198,False
e3v83e9,22,11,stage3_intrinsic_pass,-0.020241819192183153,1.0572725774184535,0.3166833626505971,16.981365920069788,True,2,198,False
e3v83e9,22,12,stage3_intrinsic_pass,-0.011364419881517707,1.0572725774184535,0.36548127048308243,19.261414373404186,True,2,198,False
e3v83eb,22,0,stage3_intrinsic_pass,-0.06402146315170532,1.0763196837067268,0.30882162997006835,16.965365433210298,True,2,198,False
e3v83eb,22,1,stage3_intrinsic_pass,-0.05514406384103987,1.0763196837067268,0.2515062531470902,13.836054230001093,True,2,198,False
e3v83eb,22,2,stage3_intrinsic_pass,-0.046266664530374424,1.0763196837067268,0.19540310941682712,10.741486494119874,True,2,198,False
e3v83eb,22,3,stage3_intrinsic_pass,-0.03738926521970898,1.0763196837067268,0.1419568192458499,7.78056829263325,True,2,198,False
e3v83eb,22,4,stage3_intrinsic_pass,-0.028511865909043532,1.0763196837067268,0.09572609599263546,5.219963098986011,True,2,198,False
e3v83eb,22,5,stage3_intrinsic_pass,-0.019634466598377864,1.0763196837067268,0.07223306680836405,3.910551033547605,True,2,198,False
e3v83eb,22,6,stage3_intrinsic_pass,-0.010757067287712418,1.0763196837067268,0.09118185120982095,4.890974194414612,True,2,198,False
e3v83eb,22,7,stage3_intrinsic_pass,-0.0018796679770469726,1.0763196837067268,0.1358419213737653,7.205699236013528,True,2,198,False
e3v83eb,22,11,stage3_intrinsic_pass,-0.020241819192183153,1.0763196837067268,0.32685096406530617,17.19704205763231,True,2,198,False
e3v83eb,22,12,stage3_intrinsic_pass,-0.011364419881517707,1.0763196837067268,0.2719169913464835,14.323402838406631,True,2,198,False
e3v83eb,22,13,stage3_intrinsic_pass,-0.002487020570852261,1.0763196837067268,0.21929097386437288,11.541865991020888,True,2,198,False
e3v83f0,22,1,stage3_intrinsic_pass,-0.05514406384103987,1.0471767857114003,0.5678258583386313,29.78622712200582,True,2,198,False
e3v83f0,22,2,stage3_intrinsic_pass,-0.046266664530374424,1.0471767857114003,0.5084871048086272,26.931696284027332,True,2,198,False
e3v83f0,22,3,stage3_intrinsic_pass,-0.03738926521970898,1.0471767857114003,0.4491485830749937,23.979265866929097,True,2,198,False
e3v83f0,22,4,stage3_intrinsic_pass,-0.028511865909043532,1.0471767857114003,0.389810398992699,20.94024584482297,True,2,198,False
e3v83f0,22,5,stage3_intrinsic_pass,-0.019634466598377864,1.0471767857114003,0.33047273444321806,17.828555139718247,True,2,198,False
e3v83f0,22,6,stage3_intrinsic_pass,-0.010757067287712418,1.0471767857114003,0.2711359305235407,14.660492688835548,True,2,198,False
e3v83f0,22,7,stage3_intrinsic_pass,-0.0018796679770469726,1.0471767857114003,0.2118007105613975,11.454338115022946,True,2,198,False
e3v83f0,22,12,stage3_intrinsic_pass,-0.011364419881517707,1.0471767857114003,0.5755960440812242,29.06072129919439,True,2,198,False
e3v83f0,22,13,stage3_intrinsic_pass,-0.002487020570852261,1.0471767857114003,0.5163975576611457,26.30351364837271,True,2,198,False
e3v83f1,22,0,stage3_intrinsic_pass,-0.06402146315170532,1.1044982214439607,0.050833717957012275,2.797028797275223,True,2,198,False
e3v83f1,22,1,stage3_intrinsic_pass,-0.05514406384103987,1.1044982214439607,0.1033066265941183,5.622526695797695,True,2,198,False
e3v83f1,22,2,stage3_intrinsic_pass,-0.046266664530374424,1.1044982214439607,0.16063260838988502,8.631234472964543,True,2,198,False
e3v83f1,22,3,stage3_intrinsic_pass,-0.03738926521970898,1.1044982214439607,0.21903377415589964,11.599369554754974,True,2,198,False
e3v83f1,22,4,stage3_intrinsic_pass,-0.028511865909043532,1.1044982214439607,0.27783293024185435,14.478233441611172,True,2,198,False
e3v83f1,22,5,stage3_intrinsic_pass,-0.019634466598377864,1.1044982214439607,0.33682170891367835,17.248196474683134,True,2,198,False
e3v83f1,22,6,stage3_intrinsic_pass,-0.010757067287712418,1.1044982214439607,0.39591536169646685,19.899378954069242,True,2,198,False
e3v83f1,22,11,stage3_intrinsic_pass,-0.020241819192183153,1.1044982214439607,0.08033602011528959,4.237484318738851,True,2,198,False
e3v83f1,22,12,stage3_intrinsic_pass,-0.011364419881517707,1.1044982214439607,0.11732335480488465,6.1259644534275965,True,2,198,False
e3v83f1,22,13,stage3_intrinsic_pass,-0.002487020570852261,1.1044982214439607,0.1676843659985614,8.651881666036845,True,2,198,False
e3v83e9,23,0,stage3_intrinsic_pass,-0.0567469493962085,1.0572725774184535,0.3316744961272771,18.340371769647405,True,2,198,False
e3v83e9,23,1,stage3_intrinsic_pass,-0.04755963057249524,1.0572725774184535,0.37880783268558377,20.564277073991487,True,2,198,False
e3v83e9,23,11,stage3_intrinsic_pass,-0.013144737547576835,1.0572725774184535,0.3013742835393611,16.10011489751087,True,2,198,False
e3v83e9,23,12,stage3_intrinsic_pass,-0.0039574187238635705,1.0572725774184535,0.35144371762514737,18.451526927409116,True,2,198,False
