camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.3383632163471583,0.5794434873835785,-0.0008673578409848243,753.3048926638205,753.1044462521339,803.5665018486252,561.3180525701762,1.0728611361779936,1.0737284940189784,13.970405060459367
e3v829d,0.0,0.0,0.0,1597.3861257179005,1596.110606842117,841.0383234268475,592.146080954314,1.0728611361779936,1.0728611361779936,0.550240343703098
e3v82e0,-0.33663590676246014,-0.060566066900246504,-0.0066918997726801675,1612.5065941073462,1612.674251250422,748.579824610846,588.6387187193183,1.0728611361779936,1.0795530359506738,0.6830799017923831
e3v82f9,0.3372873283994011,0.5751893079993204,-0.0092112124548814,1595.8306341770297,1596.8618329943758,794.6518075372481,566.5466625486926,1.0728611361779936,1.082072348632875,0.6065723381077597
e3v831e,-0.8994723106456327,0.26584391075255676,-0.0017107166504973376,1598.7797610881648,1604.5984301882095,749.1065326532967,585.4498898839429,1.0728611361779936,1.0745718528284909,0.6286394665148475
e3v832e,0.20886868803643316,0.24263470774662657,0.0019242885471075634,1603.6688001953062,1602.8990070139569,814.5612401773216,623.9069538366736,1.0728611361779936,1.070936847630886,0.5439751030229238
e3v8334,-0.6664848031504156,0.0011748320605417051,0.0008063430206536742,1578.7404173675873,1580.816982239881,759.9872093755451,600.808491811232,1.0728611361779936,1.0720547931573399,0.671412565805295
e3v83e9,-0.34048866095636154,1.1982457977092944,0.017433199172166132,1585.4549816843555,1588.077587610284,786.1403567603404,602.4474970989701,1.0728611361779936,1.0554279370058275,0.9695477618023824
e3v83eb,-0.8941612744069829,0.8848522295906684,-0.0018998781399617902,1602.9839332444212,1606.1142178721848,749.3114721822806,613.6189598752266,1.0728611361779936,1.0747610143179553,0.9956853477133845
e3v83ee,0.0019528150815457477,1.154585452898647,-0.037905971059072355,1630.1367175558614,1634.620591248461,733.8189564312146,599.4547862934921,1.0728611361779936,1.110767107237066,0.8236319973277872
e3v83ef,0.2227441318117847,0.8723850884167837,0.006055155057733198,1590.2132125531207,1590.710291742097,820.5204990696418,612.2085430042482,1.0728611361779936,1.0668059811202604,0.5495019860903202
e3v83f0,-1.0025762956696365,0.5674031673029447,0.027128312453153742,1550.6802759898187,1558.5156702503014,758.578527855847,588.7221520985853,1.0728611361779936,1.0457328237248398,2.1228021512269275
e3v83f1,-0.6832355611387889,1.1529209465937085,-0.031819658346355084,1635.1840514144033,1638.291167879618,715.8463519448234,589.1715195311075,1.0728611361779936,1.1046807945243486,0.7481682322683487
