test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points,noise_std,seed
1.1,non_refractive,0.20789470402844373,0.7724868751340788,1.0034649117338075,1.2169216660941733,1.9727428619424974,20.27355702133535,41.95511973639569,2.069450353100013,4054,0.25,43
1.1,refractive,0.005375344116307129,0.19940634466058177,1.000089589068605,1.2169216660941733,1.9727428619424974,0.3134577541611139,1.0126997538198688,3.2307376045939264,4054,0.25,43
1.2,non_refractive,0.17712590751386664,0.6536648410180528,1.0029520984585645,1.2169216660941733,1.9727428619424974,21.88797883886592,21.182939859084804,0.9677887581593785,4247,0.25,43
1.2,refractive,0.005167741486191001,0.18723549309512957,1.0000861290247698,1.2169216660941733,1.9727428619424974,0.31743947057289107,0.9294868311286211,2.9280757980447505,4247,0.25,43
1.3,non_refractive,0.1409279678366925,0.436737121463312,1.0023487994639448,1.2169216660941733,1.9727428619424974,23.405096888199807,11.692656977915231,0.49957737982321027,4282,0.25,43
1.3,refractive,0.005446000116104201,0.20087973460996394,1.0000907666686016,1.2169216660941733,1.9727428619424974,0.3419994918675233,0.9320348985332138,2.7252522904164023,4282,0.25,43
1.4,non_refractive,0.14392864211832515,0.3221222069208184,1.0023988107019721,1.2169216660941733,1.9727428619424974,24.970398302198618,27.58006144353718,1.1045102729141802,4294,0.25,43
1.4,refractive,0.0062499582517947525,0.19309813142963642,1.0001041659708632,1.2169216660941733,1.9727428619424974,0.3529625003526281,0.893981404769957,2.5327942879960976,4294,0.25,43
1.5,non_refractive,0.12896634336586532,0.2860233629149415,1.0021494390560977,1.2169216660941733,1.9727428619424974,26.400818696139027,47.8444373374536,1.8122330935309434,4288,0.25,43
1.5,refractive,0.007462852831543067,0.20706800435500064,1.0001243808805258,1.2169216660941733,1.9727428619424974,0.3728846036159556,0.924713731594198,2.4798924992531655,4288,0.25,43
1.7,non_refractive,0.16640779473843262,0.30746739961603,1.0027734632456407,1.2169216660941733,1.9727428619424974,29.675543344559227,91.28234413541166,3.076012562787584,4312,0.25,43
1.7,refractive,0.009541220848462604,0.19554996429386232,1.0001590203474744,1.2169216660941733,1.9727428619424974,0.3998079284150209,0.8398537639799641,2.100643094571535,4312,0.25,43
2.0,non_refractive,0.24597026989707504,0.4334884627743953,1.0040995044982846,1.2169216660941733,1.9727428619424974,34.48388470875222,155.64986974899378,4.513698820872373,4312,0.25,43
2.0,refractive,0.00975879579847723,0.19038831880892057,1.0001626465966413,1.2169216660941733,1.9727428619424974,0.45454970712377085,0.7532006360025904,1.6570258966144242,4312,0.25,43
2.5,non_refractive,0.3771959250028862,0.7464967980313008,1.006286598750048,1.2169216660941733,1.9727428619424974,42.484125924342415,258.71418237166426,6.089667063702659,4312,0.25,43
2.5,refractive,0.015986025388222146,0.20507465433286007,1.0002664337564704,1.2169216660941733,1.9727428619424974,0.5426402771116561,0.7364484959822107,1.3571578208351014,4312,0.25,43
1.1,non_refractive,0.2218649872098429,0.8610228155075393,1.0036977497868307,1.2169216660941733,1.9727428619424974,25.23988167708928,39.09150725734885,1.5487991488023873,4054,0.5,43
1.1,refractive,0.02470756751377922,0.400450737439785,1.0004117927918963,1.2169216660941733,1.9727428619424974,0.6808569453993654,2.156098264275319,3.1667419695786934,4054,0.5,43
1.2,non_refractive,0.19075285973141884,0.7443422284747945,1.003179214328857,1.2169216660941733,1.9727428619424974,27.204220872398768,19.471089230076146,0.7157378011818523,4247,0.5,43
1.2,refractive,0.022740270015293395,0.3771066567610525,1.000379004500255,1.2169216660941733,1.9727428619424974,0.6928875963709071,2.010981087670259,2.902319363491345,4247,0.5,43
1.3,non_refractive,0.1561753079816775,0.5700545715626028,1.0026029217996946,1.2169216660941733,1.9727428619424974,29.084760626560687,15.088471725245263,0.5187758606294398,4282,0.5,43
1.3,refractive,0.024281377849484552,0.4030958306717942,1.0004046896308247,1.2169216660941733,1.9727428619424974,0.7487943877179116,2.0028196859338534,2.6747258243184944,4282,0.5,43
1.4,non_refractive,0.15887547609838373,0.4736635362255599,1.0026479246016398,1.2169216660941733,1.9727428619424974,30.995753258857352,31.745344856524664,1.024183687081491,4294,0.5,43
1.4,refractive,0.024989951486054027,0.3910339410887394,1.0004164991914342,1.2169216660941733,1.9727428619424974,0.7722560904865299,1.911790894581096,2.475591864062408,4294,0.5,43
1.5,non_refractive,0.1456530050458772,0.4609844477491655,1.002427550084098,1.2169216660941733,1.9727428619424974,32.75486879030078,51.54535961171254,1.5736701600519283,4288,0.5,43
1.5,refractive,0.030003747371740275,0.4197939012158345,1.0005000624561957,1.2169216660941733,1.9727428619424974,0.8180792320514237,1.9518891958256415,2.3859415070726886,4288,0.5,43
1.7,non_refractive,0.18477440121521083,0.4622185793528797,1.0030795733535869,1.2169216660941733,1.9727428619424974,36.72613638268446,94.83559319679131,2.582237135118415,4312,0.5,43
1.7,refractive,0.03323260655951952,0.3961930493114864,1.000553876775992,1.2169216660941733,1.9727428619424974,0.8792368876775201,1.774905077827429,2.018688140480311,4312,0.5,43
2.0,non_refractive,0.26380655507951006,0.5520198694469093,1.004396775917992,1.2169216660941733,1.9727428619424974,42.571219197400886,159.08626705084845,3.7369441150645075,4312,0.5,43
2.0,refractive,0.032787452830733796,0.38446831015156113,1.000546457547179,1.2169216660941733,1.9727428619424974,0.9989123888643333,1.5760460898376538,1.577762081446868,4312,0.5,43
2.5,non_refractive,0.40185716522484244,0.8281472640803499,1.006697619420414,1.2169216660941733,1.9727428619424974,52.278198753543606,261.8907753714225,5.009560038708689,4312,0.5,43
2.5,refractive,0.04744848881392874,0.41310792014710407,1.0007908081468988,1.2169216660941733,1.9727428619424974,1.1958860880003075,1.456386578734056,1.217830521943225,4312,0.5,43
1.1,non_refractive,0.2537454486410373,1.0329013198730392,1.004229090810684,1.2169216660941733,1.9727428619424974,21.38207509319667,40.860423720629406,1.9109662435724182,4054,0.82,43
1.1,refractive,0.06992809585650177,0.6676535761713235,1.001165468264275,1.2169216660941733,1.9727428619424974,1.3264087662121407,3.5840734717582663,2.7020881971350326,4054,0.82,43
1.2,non_refractive,0.22068949175755964,0.9163280010052716,1.0036781581959593,1.2169216660941733,1.9727428619424974,23.094958224319463,20.343377826592032,0.8808579616814394,4247,0.82,43
1.2,refractive,0.06271803024536789,0.6324811787280579,1.0010453005040896,1.2169216660941733,1.9727428619424974,1.359479133081891,3.3944946534268188,2.4969082428883036,4247,0.82,43
1.3,non_refractive,0.1893514991817527,0.7921111864167438,1.0031558583196958,1.2169216660941733,1.9727428619424974,24.684242943637077,12.694355921440474,0.5142696071508538,4282,0.82,43
1.3,refractive,0.0675006022603081,0.6733749225829405,1.0011250100376718,1.2169216660941733,1.9727428619424974,1.4610833500885068,3.365015771619072,2.3030963780507334,4282,0.82,43
1.4,non_refractive,0.19163864810974204,0.7073480835357412,1.0031939774684957,1.2169216660941733,1.9727428619424974,26.319908035198107,28.861908059725902,1.096580885507971,4294,0.82,43
1.4,refractive,0.06752640306460088,0.6591857944353461,1.0011254400510767,1.2169216660941733,1.9727428619424974,1.513007480818801,3.1921810168328033,2.1098250056934793,4294,0.82,43
1.5,non_refractive,0.1828111111257846,0.7182281465475395,1.0030468518520963,1.2169216660941733,1.9727428619424974,27.83221711922433,49.12272782151919,1.7649592057683767,4288,0.82,43
1.5,refractive,0.08082841705585717,0.7109466526431852,1.0013471402842642,1.2169216660941733,1.9727428619424974,1.5964847718385875,3.2677459616384086,2.046838165499767,4288,0.82,43
