seed,noise_std,camera,model,focal_length_error_pct,z_position_error_mm,xy_position_error_mm,gt_x_m,gt_y_m,gt_z_m,est_x_m,est_y_m,est_z_m,reprojection_rms_px
43,0.25,cam0,non_refractive,5.511645102575673,33.050273532212536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0263336950004105
43,0.25,cam0,refractive,-0.004085727479066368,0.5201330485688472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24902500926496962
43,0.25,cam1,non_refractive,6.01312821896751,24.832461043162503,1.0576073745436234,0.208,0.2419,0.0,0.20699532313760785,0.24156960968406604,-0.008217812489050035,1.0263336950004105
43,0.25,cam1,refractive,0.015613659466956857,0.1600325760142221,0.15832486234187929,0.208,0.2419,0.0,0.20789128356665357,0.24178490221915255,-0.0003601004725546251,0.24902500926496962
43,0.25,cam10,non_refractive,7.373232738983577,-2.832394846197225,0.6472914156963063,-0.6639,0.0038,0.0,-0.6633659424168947,0.003434255998324191,-0.03588266837840976,1.0263336950004105
43,0.25,cam10,refractive,0.017104883409188518,0.1331096014270206,0.0560291369839817,-0.6639,0.0038,0.0,-0.663844186559897,0.0037950883714483277,-0.0003870234471418266,0.24902500926496962
43,0.25,cam11,non_refractive,6.135577488569846,19.084891914809056,1.7196867177723083,-0.3364,-0.0573,0.0,-0.3347295280270485,-0.05770846761789156,-0.013965381617403478,1.0263336950004105
43,0.25,cam11,refractive,0.020285355175708925,0.1218867112716025,0.17164849477708483,-0.3364,-0.0573,0.0,-0.33655761463923134,-0.05736797669644228,-0.0003982463372972447,0.24902500926496962
43,0.25,cam2,non_refractive,6.226412592663918,17.643384582932377,2.2944008915421015,0.3353,0.573,0.0,0.33415694944451757,0.571010600372293,-0.01540688894928016,1.0263336950004105
43,0.25,cam2,refractive,0.001194620394252354,0.35824493797098034,0.2503005280136086,0.3353,0.573,0.0,0.3350962521769285,0.5728546136907493,-0.0001618881105978669,0.24902500926496962
43,0.25,cam3,non_refractive,5.716214572556601,19.242485871923684,4.610817520296795,0.2227,0.8684,0.0,0.2211098592454057,0.8640720570029107,-0.013807787660288852,1.0263336950004105
43,0.25,cam3,refractive,0.04243958512609117,-0.23015332135576816,0.23362249956327724,0.2227,0.8684,0.0,0.22262418662596484,0.8681790208050073,-0.0007502863699246154,0.24902500926496962
43,0.25,cam4,non_refractive,5.500440093556028,16.410702197832666,5.80418046043407,0.0039,1.149,0.0,0.005553840236963556,1.1434364289087058,-0.01663957133437987,1.0263336950004105
43,0.25,cam4,refractive,0.02986791533888036,-0.2465109631982585,0.24299669685860764,0.0039,1.149,0.0,0.003826403275230507,1.1487684165014787,-0.0007666440117671058,0.24902500926496962
43,0.25,cam5,non_refractive,6.436275524168125,-3.1512075689626258,6.433491462423943,-0.3363,1.193,0.0,-0.3320176178642102,1.1881988526746048,-0.03620148110117516,1.0263336950004105
43,0.25,cam5,refractive,0.03202511277435113,-0.26867614700087195,0.1637007921034282,-0.3363,1.193,0.0,-0.3363636906660006,1.1928491973196536,-0.0007888091955697192,0.24902500926496962
43,0.25,cam6,non_refractive,7.806273506489599,-26.807574981446024,4.542931607716522,-0.6801,1.1523,0.0,-0.6780551440462523,1.1482433028556704,-0.05985784851365856,1.0263336950004105
43,0.25,cam6,refractive,0.04016087818369579,-0.40802396462605817,0.25553052377318924,-0.6801,1.1523,0.0,-0.6801853160442767,1.1520591327727383,-0.0009281570131949054,0.24902500926496962
43,0.25,cam7,non_refractive,7.746038754448064,-22.659283685546555,4.8205373845644655,-0.8868,0.8828,0.0,-0.8836370537172714,0.8791622326230837,-0.05570955721775909,1.0263336950004105
43,0.25,cam7,refractive,0.007533766852851415,0.0225164896894956,0.19157410105359607,-0.8868,0.8828,0.0,-0.8866905791424532,0.8826427495242354,-0.0004976165588793516,0.24902500926496962
43,0.25,cam8,non_refractive,8.092804181348692,-26.295249409182972,5.251236137451386,-1.0023,0.5654,0.0,-0.9987795608013532,0.5615035928318634,-0.05934552294139551,1.0263336950004105
43,0.25,cam8,refractive,0.03247336146940484,-0.23228473791704107,0.2254435216562977,-1.0023,0.5654,0.0,-1.0022048870161897,0.5651956025886478,-0.0007524177864858883,0.24902500926496962
43,0.25,cam9,non_refractive,7.798860247762921,-15.468215119324917,4.251827393324328,-0.8949,0.2677,0.0,-0.8916481768162341,0.2649607150268463,-0.048518488651537454,1.0263336950004105
43,0.25,cam9,refractive,-0.02496774392575057,0.5898588177246766,0.22868047915068013,-0.8949,0.2677,0.0,-0.8946716509407332,0.26771230726113066,6.972576915582939e-05,0.24902500926496962
43,0.5,cam0,non_refractive,5.487530406257413,36.99220329455721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1133839509910965
43,0.5,cam0,refractive,-0.004465991970582634,1.0830379805531754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4980757191939857
43,0.5,cam1,non_refractive,6.000451953299476,27.80033955387443,1.0607253152184517,0.208,0.2419,0.0,0.20702994747098963,0.24147088895923563,-0.009191863740682777,1.1133839509910965
43,0.5,cam1,refractive,0.036828001147255,0.3607459320005646,0.34273647350327996,0.208,0.2419,0.0,0.20779338920981047,0.24162654018275673,-0.0007222920485526107,0.4980757191939857
