iteration,n_fev,cost,step_norm,optimality,water_z,tilt_rx,tilt_ry
1,3,3406.735596244243,0.0,6390.257167645739,1.0303356285294138,nan,nan
2,5,3406.0566343480596,0.666160886814987,6409.671976524287,1.0305689986062645,nan,nan
3,6,3405.4559620843856,1.3852741467774217,6332.01412641962,1.0313798841089594,nan,nan
4,8,3405.390065718274,0.7437085429640489,6420.27048318402,1.0320002124616316,nan,nan
5,11,3405.385571079002,0.09914137535914297,6428.014236370644,1.032082975740395,nan,nan
6,13,3405.3835023945962,0.04990498417632445,6427.982421461026,1.032124411712334,nan,nan
7,15,3405.3825016112296,0.025023290217309768,6427.979034342371,1.0321451126417418,nan,nan
8,16,3405.3805550671827,0.05025344011232618,6428.063818712702,1.0321863559729052,nan,nan
9,21,3405.3805401087957,0.0003926137911640833,6428.061771002923,1.0321866786404552,nan,nan
