iteration,n_fev,cost,step_norm,optimality,water_z,tilt_rx,tilt_ry
1,3,3603.879035276036,0.0,6352.884337865579,1.0300484396320004,nan,nan
2,4,3602.992617515727,2.6532144902738954,6067.072764495856,1.0315420757312745,nan,nan
3,6,3602.9788521368955,0.4958927868357399,6331.669818915764,1.0320204373336725,nan,nan
4,10,3602.9784936455244,0.01688782985866795,6331.297134657994,1.0320345099517052,nan,nan
5,11,3602.977794994784,0.033815887778263366,6331.428898326687,1.0320628520342436,nan,nan
6,14,3602.977709100379,0.00422739398651145,6331.4444737745935,1.0320663839806299,nan,nan
7,16,3602.977666270105,0.002113911533909957,6331.451836781657,1.0320681510397145,nan,nan
8,17,3602.9775808395784,0.004228279950194449,6331.471181707581,1.0320716841849789,nan,nan
9,21,3602.9775781747294,0.00013212383132287973,6331.47107740796,1.0320717947429434,nan,nan
