test_depth_m,model,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points
1.1,non_refractive,29.038385603125498,41.82446715435619,1.4403165425923157,4054
1.1,refractive,0.52057019608701,1.4220535114503956,2.7317228726108405,4054
1.2,non_refractive,31.049605412692372,21.790802709348007,0.7018061073471944,4247
1.2,refractive,0.5288719152570828,1.3299893719543094,2.5147664937129557,4247
1.3,non_refractive,33.13265156962332,16.951503935246198,0.5116253342907114,4282
1.3,refractive,0.5639321347339119,1.4416594181049005,2.556441332759196,4282
1.4,non_refractive,35.27180152853271,31.470510121036252,0.8922286006735025,4294
1.4,refractive,0.574916012968816,1.4547082226968373,2.5302969301287184,4294
1.5,non_refractive,37.45008584081099,50.228691822142586,1.3412170010944593,4288
1.5,refractive,0.6185228138828894,1.6273059462033668,2.6309554145426874,4288
1.7,non_refractive,41.922399075722936,93.04738792698579,2.219514865046669,4312
1.7,refractive,0.6560040728783787,1.680982257469195,2.5624570440446703,4312
2.0,non_refractive,48.52142600643736,157.46060367829293,3.24517675258354,4312
2.0,refractive,0.7320581580284925,1.8324507948924922,2.5031492031008433,4312
2.5,non_refractive,59.545254073480024,257.88861954434634,4.330968497104852,4312
2.5,refractive,0.8769004838586449,2.151687812828801,2.453742303072614,4312
