seed,camera,model,focal_length_error_pct,z_position_error_mm,xy_position_error_mm,gt_x_m,gt_y_m,gt_z_m,est_x_m,est_y_m,est_z_m,reprojection_rms_px
42,cam0,non_refractive,5.700133098432046,16.370413312426074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2668763284509752
42,cam0,refractive,-0.1579829410181966,0.40067912811625084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49903604691219283
42,cam1,non_refractive,6.358103774504547,4.777040186577347,1.0972798567992468,0.208,0.2419,0.0,0.20755416488602138,0.240897376374066,-0.011593373125848726,1.2668763284509752
42,cam1,refractive,-0.10599295144101024,-0.9218515268138031,0.25039465847916315,0.208,0.2419,0.0,0.20814248458689866,0.24169409801484393,-0.001322530654930054,0.49903604691219283
42,cam10,non_refractive,5.972023713222659,7.253396020051502,6.353521358549614,-0.6639,0.0038,0.0,-0.6581137125742361,0.006424140141073342,-0.00911701729237457,1.2668763284509752
42,cam10,refractive,-0.18428058459662738,0.5068799690471206,0.3812378197555291,-0.6639,0.0038,0.0,-0.6635191287983675,0.003783284648405503,0.00010620084093086973,0.49903604691219283
42,cam11,non_refractive,5.339052956020242,20.352413086262132,4.469530949604765,-0.3364,-0.0573,0.0,-0.33248310686951926,-0.05514717508518043,0.003981999773836058,1.2668763284509752
42,cam11,refractive,-0.1848343125395181,0.7702160871127526,0.24634135776217517,-0.3364,-0.0573,0.0,-0.33618516192999004,-0.05717946507469402,0.00036953695899650174,0.49903604691219283
42,cam2,non_refractive,7.022871487010924,-5.806772742436724,3.49459793976221,0.3353,0.573,0.0,0.33419485181437436,0.5696847530637373,-0.022177186054862796,1.2668763284509752
42,cam2,refractive,-0.1031177476079136,-0.42050424220347227,0.35739134317738636,0.3353,0.573,0.0,0.3351417865393968,0.5726795361595092,-0.0008211833703197231,0.49903604691219283
42,cam3,non_refractive,6.1695585129268915,-0.1777528671044344,6.440677548943393,0.2227,0.8684,0.0,0.2193708680212258,0.862886452361921,-0.016548166179530508,1.2668763284509752
42,cam3,refractive,-0.10415329220901359,-0.6366209148310996,0.3763036046381796,0.2227,0.8684,0.0,0.2226291918881274,0.8680304183254587,-0.0010373000429473504,0.49903604691219283
42,cam4,non_refractive,5.72307725338191,4.841198946773426,7.453071889770968,0.0039,1.149,0.0,0.0007626625938289271,1.1422394235013622,-0.011529214365652648,1.2668763284509752
42,cam4,refractive,-0.1182987454453107,-0.08617821825374844,0.18431265588583304,0.0039,1.149,0.0,0.003958144761784303,1.14882509905147,-0.0004868573463699993,0.49903604691219283
42,cam5,non_refractive,5.4733488579037735,6.370296027305372,9.483522739786011,-0.3363,1.193,0.0,-0.3364808186502954,1.1835182012164494,-0.010000117285120702,1.2668763284509752
42,cam5,refractive,-0.18425737437485198,0.9904267908239214,0.6858059395301335,-0.3363,1.193,0.0,-0.33629931340751723,1.19231419440416,0.0005897476627076706,0.49903604691219283
42,cam6,non_refractive,6.536175940054897,-12.550420902341894,10.502237575355716,-0.6801,1.1523,0.0,-0.6764545666672015,1.1424507457183128,-0.028920834214767967,1.2668763284509752
42,cam6,refractive,-0.20811013230031047,1.1671370195472868,0.603831118668239,-0.6801,1.1523,0.0,-0.679993139208276,1.151705699746707,0.0007664578914310361,0.49903604691219283
42,cam7,non_refractive,6.721564068419003,-12.543243441662714,9.152327353561825,-0.8868,0.8828,0.0,-0.8809631787629056,0.8757504174710158,-0.028913656754088787,1.2668763284509752
42,cam7,refractive,-0.10947028627883415,-0.6072616721504175,0.4649781055622961,-0.8868,0.8828,0.0,-0.886529632985305,0.8824217060454922,-0.0010079408002666684,0.49903604691219283
42,cam8,non_refractive,6.481845068159172,-9.555780275922572,9.009105700850904,-1.0023,0.5654,0.0,-0.9933356648784485,0.5645029596677836,-0.025926193588348644,1.2668763284509752
42,cam8,refractive,-0.12506173310880023,-0.12959461435823538,0.3790364954459493,-1.0023,0.5654,0.0,-1.001929864628442,0.5653183392897312,-0.0005302737424744862,0.49903604691219283
42,cam9,non_refractive,6.301253325266004,-2.960374037501431,6.689003342155032,-0.8949,0.2677,0.0,-0.8885506315961018,0.26980434944411336,-0.019330787349927506,1.2668763284509752
42,cam9,refractive,-0.11392555127404641,-0.6326486779203061,0.29980657313433623,-0.8949,0.2677,0.0,-0.894606759290403,0.26776240086160935,-0.0010333278060365568,0.49903604691219283
43,cam0,non_refractive,5.487531461567909,26.11178632124826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1133840606080851
43,cam0,refractive,-0.004416864828463268,0.8086905857481923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49807927361184445
43,cam1,non_refractive,6.000452514782943,17.624559350177385,1.1088155722776007,0.208,0.2419,0.0,0.20694036219974923,0.24157344264576489,-0.008487226971070874,1.1133840606080851
43,cam1,refractive,0.035498358208245484,0.1116797357228323,0.33688584308420644,0.208,0.2419,0.0,0.20780957658982535,0.24162209534705584,-0.00069701085002536,0.49807927361184445
43,cam10,non_refractive,7.391707782182146,-4.69878120589884,0.21723984672645025,-0.6639,0.0038,0.0,-0.6636910420866385,0.0037405883727765644,-0.0308105675271471,1.1133840606080851
43,cam10,refractive,0.03570911678515098,0.1349166031708543,0.115723843434725,-0.6639,0.0038,0.0,-0.6637845483107578,0.0037920680777597422,-0.000673773982577338,0.49807927361184445
43,cam11,non_refractive,6.0993925407972975,14.721590532298533,1.602954146007165,-0.3364,-0.0573,0.0,-0.3348111151200316,-0.057511912322457656,-0.011390195788949727,1.1133840606080851
43,cam11,refractive,0.042285149240142594,0.05291654361697906,0.31621422269003535,-0.3364,-0.0573,0.0,-0.3366825096413769,-0.05744205540172952,-0.0007557740421312132,0.49807927361184445
43,cam2,non_refractive,6.206379951016813,11.6376968608961,2.4702499529854447,0.3353,0.573,0.0,0.33389309835348757,0.5709695412864908,-0.014474089460352162,1.1133840606080851
43,cam2,refractive,0.000696766616694143,0.6501830768966302,0.5056654983630312,0.3353,0.573,0.0,0.3349225344247252,0.5726635221616254,-0.00015850750885156207,0.49807927361184445
43,cam3,non_refractive,5.773916408478095,15.212373499711322,4.608867314135564,0.2227,0.8684,0.0,0.22101778384451476,0.8641091018742538,-0.010899412821536938,1.1133840606080851
43,cam3,refractive,0.08878038067934577,-0.5081339904631941,0.47009814199136946,0.2227,0.8684,0.0,0.22259601093224143,0.8679415476721725,-0.0013168245762113864,0.49807927361184445
43,cam4,non_refractive,5.527725287413458,16.507891181474797,5.592467279159043,0.0039,1.149,0.0,0.005383224332162118,1.1436078078809313,-0.009603895139773461,1.1133840606080851
43,cam4,refractive,0.059296297446255246,-0.4161739173315435,0.5274126849588578,0.0039,1.149,0.0,0.0037915670743372872,1.148483854244532,-0.0012248645030797358,0.49807927361184445
43,cam5,non_refractive,6.444350727963674,0.5080790021465944,6.071220313891794,-0.3363,1.193,0.0,-0.3323143340659476,1.1884202420192824,-0.025603707319101665,1.1133840606080851
43,cam5,refractive,0.06406819023604243,-0.4076630045086189,0.36433244961698974,-0.3363,1.193,0.0,-0.3363782173721689,1.1926441627105897,-0.0012163535902568112,0.49807927361184445
43,cam6,non_refractive,7.852299930794383,-20.9914494516324,4.000087959448513,-0.6801,1.1523,0.0,-0.6786597059941096,1.1485682099657242,-0.047103235772880656,1.1133840606080851
43,cam6,refractive,0.06996811002860572,-0.5076727878197729,0.5793793458120616,-0.6801,1.1523,0.0,-0.6801792292861814,1.151726063464689,-0.0013163633735679653,0.49807927361184445
43,cam7,non_refractive,7.7235129141634244,-15.96052100181329,4.421902299991527,-0.8868,0.8828,0.0,-0.8838993273167546,0.8794624383248629,-0.04207230732306155,1.1133840606080851
43,cam7,refractive,0.01697989819705278,0.14693030183605515,0.4089747252171932,-0.8868,0.8828,0.0,-0.8865581405837308,0.8824702055964265,-0.0006617602839121371,0.49807927361184445
43,cam8,non_refractive,8.109398821352274,-21.193369261386934,4.682071935832949,-1.0023,0.5654,0.0,-0.9991726292354657,0.5619155560395594,-0.04730515558263519,1.1133840606080851
43,cam8,refractive,0.06710414395143029,-0.44707793957858666,0.48455144425608154,-1.0023,0.5654,0.0,-1.0020942931311665,0.5649612805153115,-0.001255768525326779,0.49807927361184445
43,cam9,non_refractive,7.807558077232938,-13.368069505973274,3.805047370959433,-0.8949,0.2677,0.0,-0.8920060323637911,0.26522950676669205,-0.039479855827221536,1.1133840606080851
43,cam9,refractive,-0.05363536781248004,1.1900953784583643,0.4914153395826869,-0.8949,0.2677,0.0,-0.89440862227103,0.2677060797573506,0.00038140479271017204,0.49807927361184445
44,cam0,non_refractive,7.216582880113505,-2.2636332365394236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3655294056813685
44,cam0,refractive,0.06335298256421727,-1.3929079249722138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995063575075525
44,cam1,non_refractive,7.414154184347033,-2.2103187811574108,2.3832426770604895,0.208,0.2419,0.0,0.2057643215635273,0.24107441682039088,5.331445538201275e-05,1.3655294056813685
44,cam1,refractive,-0.027690170063379423,-0.19497257034012527,0.31735174509101277,0.208,0.2419,0.0,0.20770031518501983,0.24200440853309294,0.0011979353546320885,0.4995063575075525
44,cam10,non_refractive,6.846965328859583,3.2666845084279923,6.195813693081543,-0.6639,0.0038,0.0,-0.6577048905006705,0.003893410977371309,0.005530317744967416,1.3655294056813685
44,cam10,refractive,-0.08133693130071545,1.1271874660735925,0.2302324941977725,-0.6639,0.0038,0.0,-0.6639927082111315,0.004010741996226013,0.0025200953910458064,0.4995063575075525
44,cam11,non_refractive,6.896065805230838,1.4049453273707142,3.749022516273885,-0.3364,-0.0573,0.0,-0.33271741092381046,-0.05659735675947303,0.003668578563910138,1.3655294056813685
44,cam11,refractive,-0.03972773550059644,0.2999575963746781,0.3748594006043224,-0.3364,-0.0573,0.0,-0.33675655613369704,-0.057184296526653536,0.0016928655213468919,0.4995063575075525
44,cam2,non_refractive,7.303792206726357,-3.2230169157371913,5.119160313512303,0.3353,0.573,0.0,0.332058009894576,0.5690382702677022,-0.0009593836791977675,1.3655294056813685
44,cam2,refractive,-0.01811891422892002,-0.02469932132238073,0.41766768614233446,0.3353,0.573,0.0,0.3349829865069445,0.572728064821569,0.0013682086036498331,0.4995063575075525
44,cam3,non_refractive,6.498013466180288,8.484432990992213,9.049979280787252,0.2227,0.8684,0.0,0.22011662888887484,0.8597265739938083,0.010748066227531636,1.3655294056813685
44,cam3,refractive,-0.013563074744018938,-0.20005343743524584,0.5567531493589876,0.2227,0.8684,0.0,0.22216081900154444,0.8682612270911683,0.001192854487536968,0.4995063575075525
44,cam4,non_refractive,6.403716723860158,10.06209947609305,11.317386079444486,0.0039,1.149,0.0,0.003705985225462814,1.1376842770474678,0.012325732712632473,1.3655294056813685
44,cam4,refractive,-0.011115745282666633,-0.30508576663983744,0.2870238199208618,0.0039,1.149,0.0,0.0036981198382340487,1.148795972860905,0.0010878221583323763,0.4995063575075525
44,cam5,non_refractive,6.324059706255471,11.202230233658383,11.596340649244025,-0.3363,1.193,0.0,-0.33196834696803973,1.1822430534786112,0.013465863470197806,1.3655294056813685
44,cam5,refractive,-0.036805569105514906,0.0292509759891173,0.41948012169224125,-0.3363,1.193,0.0,-0.3362992041930195,1.1925805206331819,0.0014221589009613311,0.4995063575075525
44,cam6,non_refractive,6.730271147797973,5.481655969278705,13.738010311616502,-0.6801,1.1523,0.0,-0.670202031078649,1.142773030988082,0.007745289205818129,1.3655294056813685
44,cam6,refractive,0.06401201777397274,-1.3970340788727975,0.41492840938098613,-0.6801,1.1523,0.0,-0.6805061864449337,1.1523847240040581,-4.1261539005837044e-06,0.4995063575075525
44,cam7,non_refractive,7.46771508971232,-2.100362474123963,9.743937225965418,-0.8868,0.8828,0.0,-0.8785935465480597,0.8775465787904747,0.0001632707624154607,1.3655294056813685
44,cam7,refractive,-0.005118011229037642,0.04673316831720675,0.3471663291179819,-0.8868,0.8828,0.0,-0.8870048879314336,0.8825197404852175,0.0014396410932894206,0.4995063575075525
44,cam8,non_refractive,8.1947776656782,-14.976909940107973,8.251728569672435,-1.0023,0.5654,0.0,-0.9942875662190203,0.5634272026731153,-0.01271327670356855,1.3655294056813685
44,cam8,refractive,-0.10911050707493519,1.204936010192202,0.35471516897601635,-1.0023,0.5654,0.0,-1.001983074873533,0.5655593151446523,0.002597843935164416,0.4995063575075525
44,cam9,non_refractive,8.329166427793046,-17.391440394694516,5.6248884014662455,-0.8949,0.2677,0.0,-0.8893665024870147,0.2666901610015779,-0.015127807158155093,1.3655294056813685
44,cam9,refractive,0.030264428292015238,-0.5862200423364132,0.3277024599164373,-0.8949,0.2677,0.0,-0.8952013531272783,0.26782874468888024,0.0008066878826358007,0.4995063575075525
45,cam0,non_refractive,6.411426490879022,16.244557437842037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2703481624047386
45,cam0,refractive,-0.019279422409257292,0.580860055976439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49718531907820396
45,cam1,non_refractive,7.01793302579292,12.654417509532717,0.8034087782979527,0.208,0.2419,0.0,0.20863797439962814,0.24141168214197584,-0.00359013992830932,1.2703481624047386
45,cam1,refractive,-0.05510477739495022,0.8986815990025256,0.14087436654820226,0.208,0.2419,0.0,0.20794717953969,0.24176940296280927,0.0003178215430260867,0.49718531907820396
45,cam10,non_refractive,7.261046918530531,-3.606543826763783,1.559064729450686,-0.6639,0.0038,0.0,-0.6624784779754878,0.003159720401352954,-0.01985110126460582,1.2703481624047386
45,cam10,refractive,0.05930345661617827,-0.7050615001861396,0.033719085872128574,-0.6639,0.0038,0.0,-0.6639315858758875,0.003788197068310244,-0.0012859215561625784,0.49718531907820396
45,cam11,non_refractive,6.940482070343802,2.550380929660532,1.2794919416961048,-0.3364,-0.0573,0.0,-0.33526470773177836,-0.05789009414043987,-0.013694176508181504,1.2703481624047386
45,cam11,refractive,-0.015687434770191543,0.5507264037036398,0.3728823610680999,-0.3364,-0.0573,0.0,-0.33608106569773205,-0.057106810543681615,-3.0133652272799146e-05,0.49718531907820396
45,cam2,non_refractive,7.290343737406644,9.869198822317689,0.3628291080400663,0.3353,0.573,0.0,0.33539812215467996,0.5733493093248141,-0.006375358615524349,1.2703481624047386
45,cam2,refractive,-0.005325475278911316,0.29368484279317936,0.1588498274493579,0.3353,0.573,0.0,0.3354292855356052,0.5730922958176948,-0.0002871752131832596,0.49718531907820396
