camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.33384550639112776,0.5759104883271796,0.015071484655292268,736.4390217477188,738.8698398709198,805.8415133853731,564.1770869667199,1.0196677945868913,1.004596309931599,25.991446767335123
e3v829d,0.0,0.0,0.0,1583.9828868555123,1584.8796809112275,848.7627103296886,587.054335533269,1.0196677945868913,1.0196677945868913,0.5650082198725748
e3v82e0,-0.33444634059960127,-0.060403206486491154,-0.01174811908356843,1602.8029998694567,1603.6805275155157,755.4851071834564,594.1673063168163,1.0196677945868913,1.0314159136704597,0.649950603673492
e3v82f9,0.3439940464284393,0.5679477848542157,-0.004277766190390121,1582.7594207480672,1584.0869102313236,788.6989130249144,558.5898320440845,1.0196677945868913,1.0239455607772814,0.7407574331873366
e3v831e,-0.889418620247819,0.2802885673583809,-0.016441121374759043,1603.2910979858943,1599.7501278258082,770.200156041516,582.176336567287,1.0196677945868913,1.0361089159616503,1.4281463837071977
e3v832e,0.20955836023218002,0.23770065610996302,0.008436944186977937,1583.63058436238,1584.5575279832917,806.3424145100543,625.4294784624865,1.0196677945868913,1.0112308503999132,0.6835596349806535
e3v8334,-0.6589828537973662,0.006659508681788726,0.0015745666599855934,1557.58159695351,1558.6898828875387,769.0655133158533,624.6884943689428,1.0196677945868913,1.0180932279269057,0.5870353123916607
e3v83e9,-0.32982924507106337,1.1973073182725467,0.030517635813825404,1561.4366911433056,1566.3938636694993,784.3238311799513,619.0926957095755,1.0196677945868913,0.9891501587730659,0.8446527852598354
e3v83eb,-0.8758531545693239,0.8873949225031871,0.01075441706635065,1575.2294860072016,1574.85359193632,778.3263939425797,616.0302470234027,1.0196677945868913,1.0089133775205406,0.8085814806152244
e3v83ee,0.01562957826611342,1.1519276079781688,-0.016233254849459214,1599.9783933215385,1600.4955667602576,756.8697144343844,600.6745612695371,1.0196677945868913,1.0359010494363505,1.1735768247141463
e3v83ef,0.2356701084630919,0.8649367942659657,0.012188459246724756,1579.149885032257,1578.3478051789064,814.3975105078887,614.7595032877399,1.0196677945868913,1.0074793353401665,0.9141906265748738
e3v83f0,-1.0004350917615823,0.5698548192950758,0.0033055617676169277,1566.9856090433807,1569.1862339639824,793.8314687765079,599.8436235707935,1.0196677945868913,1.0163622328192743,2.0098828688520785
e3v83f1,-0.6637117992969964,1.1551083015595214,-0.04851476043169373,1649.991089547748,1647.14173353174,775.8951547209998,588.1956156791279,1.0196677945868913,1.068182555018585,1.3949028838154192
