residual_x_px,residual_y_px,camera,is_auxiliary
-42.64444230596473,-54.34189383029434,e3v8250,True
-39.53787142694091,-57.920235340810336,e3v8250,True
-39.285216433050664,-51.002721628224435,e3v8250,True
-38.38869965580989,-46.536027002512355,e3v8250,True
-37.194515855926284,-6.236780391619391,e3v8250,True
-36.27744147006274,-53.256620165918434,e3v8250,True
-35.79661786379506,-43.30843492073643,e3v8250,True
-34.920547559567694,-3.4970744837638676,e3v8250,True
-34.45700399820771,-58.68294652844622,e3v8250,True
-33.25755871786123,-46.607752312783305,e3v8250,True
-32.29445137626999,-6.750214745367202,e3v8250,True
-32.279309939840914,-0.038066570461751326,e3v8250,True
-32.13988524908541,-36.608733848766406,e3v8250,True
-31.674225469746034,-5.584184549885663,e3v8250,True
-31.324107967838927,-0.02625651639505122,e3v8250,True
-31.30444329651982,-53.75608583317194,e3v8250,True
-30.918021170627753,8.22700733898995,e3v8250,True
-30.544462760003398,-43.05377559715225,e3v8250,True
-30.36090785970373,-34.510710014440065,e3v8250,True
-30.189647649654262,29.42947595325535,e3v8250,True
-30.022012013605945,31.487066358183085,e3v8250,True
-29.80155994084589,10.775286341714263,e3v8250,True
-29.744172819225696,-26.906304633852187,e3v8250,True
-29.725490211737906,-3.550942328018891,e3v8250,True
-29.611066084976528,-60.09495281149384,e3v8250,True
-29.51014396772098,2.3382504819688847,e3v8250,True
-29.4918638708034,-3.7573072333228765,e3v8250,True
-29.36309015168672,24.766213846268045,e3v8250,True
-29.11904189324855,20.52748701799203,e3v8250,True
-29.107506882566668,13.731713330775221,e3v8250,True
-29.100578360040117,-37.393190307964005,e3v8250,True
-28.807888507725238,16.922147783727553,e3v8250,True
-28.736370125838675,-47.36398248395153,e3v8250,True
-28.52735635235331,-1.766181525872753,e3v8250,True
-28.35649662878518,4.994516333410218,e3v8250,True
-28.272831493784224,-2.4077041626811706,e3v8250,True
-27.608511335223284,-1.4473841440424167,e3v8250,True
-27.603639377563013,4.452094268526707,e3v8250,True
-27.436331624734066,-36.997397551249946,e3v8250,True
-27.426264157938704,-0.2757622296521731,e3v8250,True
-27.417412598378633,-1.0545343779965606,e3v8250,True
-27.337012476411246,7.000137431107362,e3v8250,True
-26.771774666955025,-54.178196575552874,e3v8250,True
-26.51873320932964,-28.68482657473362,e3v8250,True
-26.50431871767114,-50.7307399396409,e3v8250,True
-26.425658036658888,-5.36569766593982,e3v8250,True
-26.043110786504712,-40.29283508477829,e3v8250,True
-26.022789519988464,1.4972647519640532,e3v8250,True
