arm,n_seeds,n_cameras_per_seed,mean_within_seed_correlation,n_seeds_negative,n_seeds_positive,p_one_sided,verdict,scope
percamera_fixed,10,12,,0,0,1.0,no_signature,Re-analysis of the ten committed seeds (42-51) of experiments/results/interface_ablation_band.csv at the 'realistic' scenario. Bounds the focal-length/standoff association within that band only; not a re-run and not a new calibration (D-19.5-05).
percamera_refined,10,12,0.43705571127180143,1,9,0.0107421875,signature_present,Re-analysis of the ten committed seeds (42-51) of experiments/results/interface_ablation_band.csv at the 'realistic' scenario. Bounds the focal-length/standoff association within that band only; not a re-run and not a new calibration (D-19.5-05).
shared_fixed,10,12,,0,0,1.0,no_signature,Re-analysis of the ten committed seeds (42-51) of experiments/results/interface_ablation_band.csv at the 'realistic' scenario. Bounds the focal-length/standoff association within that band only; not a re-run and not a new calibration (D-19.5-05).
shared_refined,10,12,0.9559560287105018,0,10,0.0009765625,signature_present,Re-analysis of the ten committed seeds (42-51) of experiments/results/interface_ablation_band.csv at the 'realistic' scenario. Bounds the focal-length/standoff association within that band only; not a re-run and not a new calibration (D-19.5-05).
