camera,model,focal_length_error_pct,z_position_error_mm,xy_position_error_mm,gt_x_m,gt_y_m,gt_z_m,est_x_m,est_y_m,est_z_m,reprojection_rms_px
cam0,non_refractive,5.702394175276402,26.748614684738826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2669003363755043
cam0,refractive,-0.14838977014951554,0.7427220119525993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499007097764071
cam1,non_refractive,6.360726207956283,17.572479484443072,1.0939624854708498,0.208,0.2419,0.0,0.20774662385329987,0.24083578458576238,-0.009176135200295754,1.2669003363755043
cam1,refractive,-0.10134905373583052,-0.6988674078899589,0.1904162397770827,0.208,0.2419,0.0,0.20814465416864691,0.24177617142549512,-0.0014415894198425584,0.499007097764071
cam10,non_refractive,5.973804021063972,5.427149087710784,6.577741665761546,-0.6639,0.0038,0.0,-0.6578291683211562,0.0063321311475991685,-0.02132146559702804,1.2669003363755043
cam10,refractive,-0.18457135502260147,0.9972729340622954,0.3761992745327286,-0.6639,0.0038,0.0,-0.6635238025219495,0.0038011626123115073,0.00025455092210969614,0.499007097764071
cam11,non_refractive,5.340681957450034,24.911822762295678,4.457769160441983,-0.3364,-0.0573,0.0,-0.3325000732726384,-0.055140769255267376,-0.0018367919224431487,1.2669003363755043
cam11,refractive,-0.18501598282370024,1.2777563292748289,0.2664663304011726,-0.3364,-0.0573,0.0,-0.33618763566018883,-0.057139047546107415,0.0005350343173222294,0.499007097764071
cam2,non_refractive,7.025492673966732,7.391307673730317,3.513416707391619,0.3353,0.573,0.0,0.33457969236082813,0.5695612133150296,-0.019357307011008507,1.2669003363755043
cam2,refractive,-0.09385871112855586,-0.4616484282031307,0.2705179993552823,0.3353,0.573,0.0,0.3351374895889515,0.5727837354530302,-0.00120437044015573,0.499007097764071
cam3,non_refractive,6.171291835382989,9.185763323906016,6.371630743100856,0.2227,0.8684,0.0,0.219683236003804,0.8627877978192439,-0.01756285136083281,1.2669003363755043
cam3,refractive,-0.09687643776083206,-0.8302947674392273,0.28032741630711,0.2227,0.8684,0.0,0.2225940833282597,0.8681404520873116,-0.0015730167793918267,0.499007097764071
cam4,non_refractive,5.724298560802018,8.521682623967902,7.422829609323765,0.0039,1.149,0.0,0.001029965797290485,1.1421544683855576,-0.018226932060770924,1.2669003363755043
cam4,refractive,-0.10768293741611706,-0.4851894717454016,0.07157200895095313,0.0039,1.149,0.0,0.0039122736517820545,1.1489294882283785,-0.0012279114836980009,0.499007097764071
cam5,non_refractive,5.47466365163526,3.5655944222343052,9.578829398382613,-0.3363,1.193,0.0,-0.3361821944723735,1.1834218950464626,-0.02318302026250452,1.2669003363755043
cam5,refractive,-0.17141099431743093,0.5442909138498777,0.5929078989462362,-0.3363,1.193,0.0,-0.33635609761966406,1.192409751888016,-0.00019843109810272158,0.499007097764071
cam6,non_refractive,6.538958593842653,-21.415995482790628,10.971049105472213,-0.6801,1.1523,0.0,-0.6757529258048472,1.142226923785828,-0.04816461016752945,1.2669003363755043
cam6,refractive,-0.1947515174793041,0.7589814811074291,0.5245250978832362,-0.6801,1.1523,0.0,-0.6800763319938576,1.1517760091567646,1.6259469154829834e-05,0.499007097764071
cam7,non_refractive,6.727419821488471,-23.655182016724027,9.80191346047217,-0.8868,0.8828,0.0,-0.8802428723651436,0.8755142890074621,-0.050403796701462854,1.2669003363755043
cam7,refractive,-0.09871621936780703,-0.7894487842989103,0.39046744691851626,-0.8868,0.8828,0.0,-0.8866232870285892,0.88245180845381,-0.0015321707962515096,0.499007097764071
cam8,non_refractive,6.485334728071307,-20.89840091647317,9.698437041098524,-1.0023,0.5654,0.0,-0.9926659718349641,0.5642841226073412,-0.047647015601212,1.2669003363755043
cam8,refractive,-0.12083036628222554,-0.009852035089373268,0.3135676671070852,-1.0023,0.5654,0.0,-1.0019963961183604,0.565321582113594,-0.0007525740470419726,0.499007097764071
cam9,non_refractive,6.303465981026863,-10.606220962300256,7.139853830145525,-0.8949,0.2677,0.0,-0.8880268209318247,0.26963311205382423,-0.03735483564703908,1.2669003363755043
cam9,refractive,-0.11200001767421569,-0.3030007636284272,0.27117442712426637,-0.8949,0.2677,0.0,-0.8946386259233708,0.2677722437678448,-0.0010457227755810265,0.499007097764071
