seed,n_true,n_assumed,delta_n,delta_n_over_n,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,scale_bias_frac,scale_bias_pct,scale_bias_pct_control,bias_over_control,holdout_floor_pct,scale_bias_over_floor,num_comparisons,num_frames
42,1.333,1.323,-0.010000000000000009,-0.0075018754688672236,0.7094591893227735,0.34838517783787687,0.4731015489063188,0.018675026183850103,1.0003112504363976,0.03112504363975699,0.04134474507204722,0.010219701432290229,1.123456933181065,0.027704705646015744,4508,30
42,1.333,1.325,-0.008000000000000007,-0.006001500375093779,0.7084527595320159,0.34862112673714885,0.4733931443047878,0.019881736756030284,1.0003313622792671,0.033136227926711115,0.04134474507204722,0.008208517145336103,1.123456933181065,0.029494880442711747,4508,30
42,1.333,1.327,-0.006000000000000005,-0.004501125281320334,0.7076323441466211,0.3488916804861636,0.4737215605054303,0.021098850972276876,1.0003516475162046,0.03516475162046451,0.04134474507204722,0.00617999345158271,1.123456933181065,0.0313004892149231,4508,30
42,1.333,1.329,-0.0040000000000000036,-0.0030007501875468894,0.7069977593938104,0.3491899440114111,0.4740865891092484,0.022324039222055208,1.0003720673203675,0.037206732036754175,0.04134474507204722,0.004138013035293042,1.123456933181065,0.03311807594742722,4508,30
42,1.333,1.331,-0.0020000000000000018,-0.0015003750937734447,0.7065485597207188,0.3495023086556027,0.4744887034702037,0.02356023211763519,1.000392670535294,0.03926705352939042,0.04134474507204722,0.002077691542656801,1.123456933181065,0.03495198825130383,4508,30
42,1.333,1.333,0.0,0.0,0.7062832501989753,0.3498306046477944,0.4749281095832217,0.024806847043226585,1.0004134474507205,0.04134474507204722,0.04134474507204722,0.0,1.123456933181065,0.036801361806526656,4508,30
42,1.333,1.335,0.0020000000000000018,0.0015003750937734447,0.7062017067346384,0.350172739386834,0.4754047505061751,0.026060344945575357,1.0004343390824262,0.04343390824261828,0.04134474507204722,0.0020891631705710623,1.123456933181065,0.03866094636991139,4508,30
42,1.333,1.337,0.0040000000000000036,0.0030007501875468894,0.7063021233811664,0.35053612540210094,0.4759182399812624,0.027323851363570465,1.0004553975227262,0.04553975227261642,0.04134474507204722,0.004195007200569201,1.123456933181065,0.04053537872935702,4508,30
42,1.333,1.339,0.006000000000000005,0.004501125281320334,0.7065236306733251,0.3509294357933788,0.4764691397666528,0.02860055566608845,1.0004766759277681,0.047667592776812207,0.04134474507204722,0.006322847704764989,1.123456933181065,0.04242939036554036,4508,30
42,1.333,1.341,0.008000000000000007,0.006001500375093779,0.8036340242262605,0.35134241869176563,0.47705683438130997,0.029885397171276397,1.0004980899528546,0.04980899528546079,0.04134474507204722,0.008464250213413571,1.123456933181065,0.04433547367447968,4508,30
42,1.333,1.343,0.010000000000000009,0.0075018754688672236,0.7076750448099799,0.35178763855095235,0.47768149344173566,0.031182077542151004,1.0005197012923692,0.05197012923692235,0.04134474507204722,0.010625384164875129,1.123456933181065,0.046259120133576526,4508,30
