x_m,y_m,z_m,signed_error_m,frame_idx
-0.52989977251441,0.8859283857369783,1.4835608791815789,-0.0001728533932489,90
-0.5225764663832791,0.8445080900088537,1.4864359942680632,7.44397360649407e-05,90
-0.4953541459268546,0.934778441333901,1.4833714359460692,-0.0001577244609735,90
-0.4880846714198135,0.8933382748162673,1.485434132295696,-0.0001767723158711,90
-0.4807613652886826,0.8519179790881428,1.4883092473821802,-0.0002426326819479,90
-0.4733343296338129,0.8104807210343418,1.4915466180950827,7.227959193818051e-05,90
-0.4610682109654585,0.9841199562850086,1.4792704927481066,0.0009493952403254,90
-0.4535230749133568,0.9422942443925404,1.4857177042843028,-0.0001369006942677,90
-0.4462536004063157,0.9008540778749068,1.4877804006339297,1.2698503612039448e-05,90
-0.4389193770354825,0.8593190550285935,1.4902271748233529,0.0001358817160222,90
-0.4314923413806129,0.8178817969747925,1.4934645455362552,-0.0002360091754635,90
-0.4269425864609792,1.0335115691230472,1.4735174130929312,-0.0001938628375111,90
-0.4240489439311785,0.7763185208787218,1.4968915003524037,0.0003383915348457,90
-0.4193432273047176,0.9919968463482464,1.477691170821856,0.0002060916107462,90
-0.411798091252616,0.9501711344557782,1.484138382358052,0.0007624882054657,90
-0.4043290670002251,0.908400558192157,1.489341458648438,-0.0001578783144858,90
-0.3969948436293919,0.8668655353458438,1.491788232837861,0.0001082197505571,90
-0.392718154240926,1.0824722990275597,1.4717895949544486,-0.000261995087287,90
-0.38958525340015,0.825172865448326,1.4952427645291635,0.0002796827547201,90
-0.3852668902329418,1.040922507104107,1.4750302952489087,0.0001846823736212,90
-0.3821418559507156,0.7836095893522552,1.4986697193453122,-0.0001439002329579,90
-0.3776675310766803,0.999407784329306,1.4792040529778336,-0.0004406530852479,90
-0.3748636279154268,0.7422648735749604,1.5016864939940715,-0.0003022488057156,90
-0.3701348497455896,0.9578666475396568,1.4830538432671176,4.600646679556175e-05,90
-0.3626658254931987,0.9160960712760357,1.4882569195575035,0.000181093408349,90
-0.3585071049169821,1.1314307474938516,1.4695487547514243,-0.0001553033871607,90
-0.3550687205377528,0.8742669990311587,1.493973741957526,0.0004196188304937,90
-0.3509563774456791,1.0898870975738304,1.4739227020012624,8.577174684270411e-05,90
-0.3476591303085109,0.8325743291336409,1.4974282736488282,-4.815058423587176e-05,90
-0.3435051134376948,1.048337305650378,1.4771634022957223,-0.0001350925661614,90
-0.3403355922705469,0.7910922647723893,1.5001567050772584,-9.354208019560216e-05,90
-0.3359781393933244,1.0067517816202831,1.4810779896604234,0.0003744700448706,90
-0.333057364235258,0.7497475489950944,1.5031734797260177,-0.0002110891802806,90
-0.3284454580622339,0.9652106448306336,1.4849277799497074,-0.0002176417006897,90
-0.3257142110292809,0.7082499417449639,1.5075190624260726,0.0004563249003667,90
-0.3244033593596153,1.1804708905002634,1.4657621936008305,-0.0001392436766115,90
-0.3209608551656771,0.923704697656792,1.4884493391893114,0.0001917048678655,90
-0.3168131035765367,1.138953711259968,1.4698961368410397,-6.328202201533184e-06,90
-0.3133637502102312,0.881875625411915,1.4941661615893338,0.0004516782760525,90
-0.3092623761052336,1.097410061339947,1.474270084090878,-1.926879376761004e-05,90
-0.3059167304250346,0.84021157662988,1.4985591649914949,-0.000429327409087,90
-0.3017120785848015,1.0558487139386936,1.4783899615100022,-2.3506086896288303e-05,90
-0.2985931923870705,0.7987295122686284,1.501287596419925,6.158439404378019e-05,90
-0.2941851045404312,1.0142631899085988,1.4823045488747026,1.9693584943906994e-05,90
-0.2912281065548651,0.7571545036501387,1.50537340788611,-6.143430081486517e-05,90
-0.2903648887738441,1.229501041539981,1.4619679558342562,-0.0002450646232153,90
-0.2866116314667783,0.972506945104496,1.4875476906441478,0.0004838366289103,90
-0.2838849533488879,0.7156568964000083,1.509718990586165,-1.580838307434912e-05,90
-0.2827238412352476,1.1880200122202438,1.4660254631923475,1.805426642132596e-05,90
-0.2791270285702215,0.9310009979306544,1.491069249883752,-0.0004060549141909,90
-0.2765815233254833,0.6740271514209569,1.514131086918447,3.639101097957509e-05,90
-0.275133585452169,1.1465028329799485,1.4701594064325574,-0.0001178582353483,90
-0.2717995526875515,0.8894287507477281,1.494467237253617,0.0002764142914214,90
-0.26750620092558,1.104956547426981,1.4744682533811448,0.000137624045255,90
-0.264352532902355,0.8477647019656931,1.498860240655778,-0.0003490169053281,90
-0.2599559034051478,1.0633952000257272,1.4785881308002689,-2.951777406039885e-05,90
-0.2569460785020492,0.8061794468717196,1.5030077276096598,6.954841779995696e-05,90
-0.2563044696915003,1.278500578345684,1.4595332380776127,-0.0002710072986834,90
-0.2523904653362964,1.021576819131107,1.4858135253550966,0.0012392743271236,90
-0.2495809926698438,0.76460443825323,1.5070935390758449,-0.0003230735828719,90
-0.2486322874117705,1.237027511794056,1.4624944497316088,0.0001786067932511,90
-0.2448169922626435,0.9798205743270044,1.491056667124541,-0.0002516272447223,90
-0.2421912376028447,0.7231475905122626,1.5108287789231845,-9.059829620206712e-05,90
-0.2409912398731741,1.195546482474319,1.4665519570897008,-0.0001461048247293,90
-0.2376039095828146,0.9383569406950198,1.493567848103733,-0.0004063733608133,90
-0.2348878075794401,0.6815178455332112,1.5152408752554665,0.0001236881081111,90
-0.2334224965433859,1.1540191547311944,1.4704697604824428,8.986363087745697e-05,90
-0.2302764337001446,0.8967846935120934,1.496965835473598,-0.0001866748401151,90
-0.2275954879863485,0.6399216368144247,1.519722130682297,-0.0001345512320664,90
-0.2257951120167968,1.1124728691782266,1.47477860743103,-0.0001352660149634,90
-0.2227947451834416,0.8550657597175446,1.5013175283255036,0.0002120830741585,90
-0.2222241488622955,1.3274852260559329,1.4571179350119268,-0.0002493118810424,90
-0.2182785576699444,1.0709601517635898,1.4787646242273471,-0.0001767886739512,90
-0.2153882907831358,0.8134805046235712,1.5054650152793854,-0.0003289251189415,90
-0.2145724415622096,1.285935481196138,1.4608613862408066,0.0001244604607816,90
-0.210713119601093,1.0291417708689696,1.4859900187821746,0.0010800946250314,90
-0.2079102692926743,0.7721327189600078,1.5080345804808188,-0.0002378123241183,90
-0.2069002592824798,1.2444624146445102,1.463822597894803,-0.0004787481507778,90
-0.2033606371609514,0.9872007773402982,1.4942051788872996,-0.0002195606328261,90
-0.2005205142256753,0.7306758712190404,1.5117698203281584,3.7476639260417e-05,90
-0.1992928312745456,1.203016241072328,1.467520199796235,9.497366324336814e-05,90
-0.1961475544811225,0.9457371437083136,1.4967163598664914,-0.0004362803999901,90
-0.1932362934289916,0.6890539671155618,1.5162362051673943,-0.0001058653506024,90
-0.1917240879447574,1.1614889133292037,1.471438003188977,-0.0002830156591197,90
-0.1886365364274169,0.904140849014106,1.5002191318452172,0.000646291564567,90
-0.1859439738359,0.6474577583967751,1.5207174605942249,-1.2148749124571425e-05,90
-0.1841464695795935,1.1200412381263891,1.4754732729885038,3.976476858434663e-05,90
-0.1811548479107139,0.8624219152195571,1.5045708246971228,-0.0002052780395448,90
-0.1804951487184161,1.3350095745553494,1.4574050308085198,8.527906072224034e-05,90
-0.1766299152327411,1.0785285207117523,1.4794592897848209,-0.0001110509379827,90
-0.1736975299722915,0.8211807411721874,1.5057948840527464,-0.0004385269527461,90
-0.1728434414183301,1.2934598296955546,1.4611484820373994,-5.7175034859961726e-05,90
-0.1691262705312012,1.0370178366170006,1.483247853614165,-1.7607306974323778e-05,90
-0.1662195084818301,0.7798329555086239,1.50836444925418,3.8792592177407104e-05,90
-0.16527928512949,1.251948012213901,1.4646528258517266,-0.0001348953863872,90
-0.1617737880910597,0.9950768430883294,1.4914630137192897,0.0017862166843708,90
-0.1588638260716365,0.7382098812789315,1.5127885298585118,-0.0001061884678031,90
