prelaunch_probe	1	start	2026-08-06T16:24:40Z
prelaunch_probe	1	complete	2026-08-06T16:24:41Z	0
e6_band	2	start	2026-08-06T16:24:41Z
e6_band	2	complete	2026-08-07T03:10:24Z	0
e4_repeat	3	start	2026-08-07T03:10:25Z
e4_repeat	3	complete	2026-08-07T04:09:33Z	0
e2_band	4	start	2026-08-07T04:09:33Z
e2_band	4	complete	2026-08-07T06:34:54Z	0
e5_band	5	start	2026-08-07T06:34:55Z
e5_band	5	complete	2026-08-07T08:55:27Z	0
