camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.33667791181868395,0.5782509388481598,0.003450956407736053,746.1481705400475,745.712230847275,803.23541595109,563.3903562736801,1.0305547750804058,1.0271038186726698,15.134314706895728
e3v829d,0.0,0.0,0.0,1587.4167027122187,1586.8709247905335,839.4973792818566,589.620607622094,1.0305547750804058,1.0305547750804058,0.5393762736907708
e3v82e0,-0.3364148665526535,-0.05731135725890438,0.0015263092641789044,1592.535403195885,1592.1901852953074,750.2081779618832,593.9941523705378,1.0305547750804058,1.029028465816227,0.7066419651344538
e3v82f9,0.33533715093865596,0.5730236658465849,-0.0011086184141828066,1577.1217205507394,1577.8404187971867,792.6378921726863,569.0856537775359,1.0305547750804058,1.0316633934945887,0.6324263692017108
e3v831e,-0.8948811528514019,0.267708435692019,0.003226030056504528,1584.7396164590293,1585.6891145573468,765.1282728821916,594.9413996172453,1.0305547750804058,1.0273287450239013,0.728175104108942
e3v832e,0.20803527623759963,0.2419044885431785,0.0049636835827348205,1590.3950201990765,1589.9269314063981,812.6171220867917,624.0338563801648,1.0305547750804058,1.025591091497671,0.5619190225061818
e3v8334,-0.663857293850898,0.003768829594497384,0.006570888222762507,1561.3070871915152,1561.3067876335217,770.2529765800182,606.5799095789425,1.0305547750804058,1.0239838868576434,0.7016709295480769
e3v83e9,-0.33625114919639404,1.1930308841655064,0.022270868998406683,1569.0764660192544,1571.2471954319205,791.7163993464609,612.2442604627126,1.0305547750804058,1.0082839060819992,1.008956783950148
e3v83eb,-0.886848693881901,0.8827724136709866,0.002482265336306514,1587.3353936659976,1587.721738318327,757.3214517958315,618.7428322860357,1.0305547750804058,1.0280725097440992,1.0781498139680794
e3v83ee,0.003940355949254959,1.1489630960241715,-0.03346624396535169,1616.0996280981713,1618.3063339191726,739.7847659607427,609.2171255119846,1.0305547750804058,1.0640210190457575,0.7808412982731542
e3v83ef,0.2226999232259222,0.868387763760561,0.010243224540306033,1576.4914796455653,1575.8327862978558,821.8936346434118,616.5918484408147,1.0305547750804058,1.0203115505400997,0.5678158468185981
e3v83f0,-1.0023074883665137,0.5653666782872332,0.011339025894500665,1560.5998630938116,1565.0117630082648,776.431767775169,593.2274823887454,1.0305547750804058,1.019215749185905,2.4078753984550487
e3v83f1,-0.6801454140428553,1.152320020293926,-0.05097278813284462,1650.3020361420452,1648.1240954687976,745.1724532339902,592.5774654554046,1.0305547750804058,1.0815275632132504,0.8297587927309321
